feature,client_0,client_1,client_2,client_3,client_4,mean
step,0.000122569,0.000920521,0.000119983,0.000124068,0.000121164,0.000281661
amount,0.0070152,0.0110931,0.0067893,0.00640616,0.0074664,0.00775403
oldbalanceOrg,0.00140966,0.0181955,0.000655115,0.000875298,0.000682657,0.00436364
newbalanceOrig,0.00736152,0.0588696,0.00751539,0.00528368,0.00629662,0.0170654
oldbalanceDest,0.00189664,0.00357338,0.00156396,0.00161298,0.00212546,0.00215449
newbalanceDest,0.00145686,0.00525978,0.00154096,0.00139579,0.00145392,0.00222146
errorBalanceOrig,0.00641289,0.106619,0.00479441,0.00274372,0.0032369,0.0247615
errorBalanceDest,0.00202738,0.0111412,6.54733e-05,8.15194e-05,0.00440648,0.00354441
type_CASH_IN,0.000157873,0.000843965,7.314e-05,0.000144884,0.000145053,0.000272983
type_CASH_OUT,0.00210371,0.00179171,0.00225632,0.00204097,0.00228293,0.00209513
type_DEBIT,2.45445e-07,0,9.70744e-05,0,1.84575e-07,1.95009e-05
type_PAYMENT,0.00237292,0.0222293,0.00224249,0.00165553,0.0018757,0.00607519
type_TRANSFER,0.000949444,0.00448295,0.00105505,0.000722958,0.000879178,0.00161792
