feature,client_0,client_1,client_2,client_3,client_4,mean
step,0.000265504,0.000200528,0.000398869,0.000462433,0.00012344,0.000290155
amount,0.000866423,0.0012115,0.00105431,0.00132211,0.00119449,0.00112977
oldbalanceOrg,0.000486081,0.000400728,0.000581151,0.000686521,0.000590573,0.000549011
newbalanceOrig,0.0161197,0.0195166,0.0244227,0.028199,0.00772626,0.0191969
oldbalanceDest,0.00030252,0.000196793,0.000487146,0.000563335,0.000135897,0.000337138
newbalanceDest,0.000546206,0.000542479,0.000670142,0.000733656,0.000650434,0.000628584
errorBalanceOrig,0.0198496,0.0244262,0.0301748,0.0348037,0.00984028,0.0238189
errorBalanceDest,0.000287603,0.000177689,0.000427346,0.000505218,0.000125946,0.000304761
type_CASH_IN,0.000343641,0.000169273,0.000525314,0.000600397,0.000177906,0.000363306
type_CASH_OUT,0.000276405,0.000211231,0.000444386,0.000514525,0.000143852,0.00031808
type_DEBIT,1.03948e-06,0.00024819,1.5497e-06,1.87297e-06,4.9366e-07,5.06292e-05
type_PAYMENT,0.00275256,0.00330191,0.00419825,0.00489768,0.00125023,0.00328013
type_TRANSFER,0.000749431,0.000817507,0.00101924,0.00109753,0.000971885,0.000931119
