feature,client_0,client_1,client_2,client_3,client_4,mean
step,0.00123723,0.000556202,0.000538142,0.000528307,0.000788955,0.000729767
amount,0.00536365,0.00339228,0.00242614,0.00586276,0.00823697,0.00505636
oldbalanceOrg,0.00167014,0.000551895,0.00049521,0.00107526,0.00121967,0.00100244
newbalanceOrig,0.0478876,0.018542,0.00765419,0.0139926,0.0339552,0.0244063
oldbalanceDest,0.00114474,0.000291932,0.000330761,0.000288853,0.000723961,0.000556048
newbalanceDest,0.00323483,0.00335573,0.002851,0.00239726,0.00309588,0.00298694
errorBalanceOrig,0.0603178,0.0225408,0.0109893,0.0177943,0.044677,0.0312639
errorBalanceDest,0.00144752,0.000667465,0.000921722,0.000546995,0.00102548,0.000921837
type_CASH_IN,0.00112711,0.000157653,0.000197899,0.000195921,0.000402923,0.000416302
type_CASH_OUT,0.00119761,0.000562548,0.00054943,0.000511773,0.000874479,0.000739168
type_DEBIT,1.14595e-05,0.000311402,1.84538e-06,0.000217403,0.000533598,0.000215142
type_PAYMENT,0.010229,0.00307472,0.00157544,0.00258182,0.00726292,0.00494478
type_TRANSFER,0.00406139,0.00399154,0.00327937,0.00264016,0.0040586,0.00360621
