feature,client_0,client_1,client_2,client_3,client_4,mean
step,0.199741,0.438572,0.20078,0.193119,0.19767,0.245977
amount,0.840374,3.51313,0.680183,0.759463,0.773646,1.31336
oldbalanceOrg,0.509569,0.852174,0.587763,0.498266,0.455614,0.580677
newbalanceOrig,1.24621,1.37813,1.38297,1.18568,1.08835,1.25627
oldbalanceDest,0.348869,0.510663,0.398509,0.331405,0.312074,0.380304
newbalanceDest,2.56434,2.31888,2.60657,2.47537,2.28517,2.45007
errorBalanceOrig,2.52334,2.51161,2.39806,2.38728,2.52754,2.46957
errorBalanceDest,0.386411,1.61424,0.382888,0.283358,0.315847,0.596548
type_CASH_IN,2.54346,2.54514,2.68012,2.28419,2.33328,2.47724
type_CASH_OUT,0.557528,0.572041,0.632376,0.587523,0.668774,0.603649
type_DEBIT,0,0,0.00436683,0,4.98159e-06,0.000874363
type_PAYMENT,0.0157225,0.00707891,0.00588595,0.0168025,0.0183788,0.0127737
type_TRANSFER,0.0161938,0.00854565,0.00467539,0.0169849,0.0169833,0.0126766
