feature,client_0,client_1,client_2,client_3,client_4,mean
step,0.194537,0.463242,0.184623,0.190519,0.195369,0.245658
amount,1.00546,3.54178,0.928326,0.906132,1.04444,1.48523
oldbalanceOrg,0.741671,0.812347,0.659869,0.706984,0.481612,0.680497
newbalanceOrig,1.06295,1.06148,1.02039,1.19767,0.871589,1.04282
oldbalanceDest,0.402779,0.475032,0.502595,0.40789,0.456928,0.449045
newbalanceDest,2.43047,1.97329,2.5812,2.5871,2.38277,2.39097
errorBalanceOrig,2.5653,2.78377,2.64916,2.51995,2.68002,2.63964
errorBalanceDest,0.34633,1.65905,0.361407,0.377705,0.322201,0.613338
type_CASH_IN,3.62735,3.62478,3.57543,3.87189,3.26383,3.59265
type_CASH_OUT,1.38923,1.44104,1.46632,1.26143,1.39089,1.38978
type_DEBIT,0,0,0.00787557,0,0,0.00157511
type_PAYMENT,0.0144489,0.00797893,0.0072904,0.0172523,0.0193171,0.0132575
type_TRANSFER,0.0159251,0.0103437,0.00739099,0.0184656,0.0162351,0.0136721
