feature,client_0,client_1,client_2,client_3,client_4,mean
step,0.352059,0.326012,0.338673,0.36198,0.338355,0.343416
amount,1.34514,1.42451,1.44801,1.32566,1.77681,1.46403
oldbalanceOrg,0.459578,0.472087,0.520291,0.589173,0.459381,0.500102
newbalanceOrig,1.77844,2.24574,2.07218,1.98446,2.43934,2.10403
oldbalanceDest,1.34913,1.58701,1.47176,1.33291,1.3741,1.42298
newbalanceDest,4.34044,4.81366,4.50983,4.64503,5.48434,4.75866
errorBalanceOrig,4.62861,4.73513,4.76703,4.60637,4.98964,4.74536
errorBalanceDest,0.827854,0.996561,0.767433,0.76859,0.901141,0.852316
type_CASH_IN,4.30613,4.52414,4.10139,4.17831,4.40085,4.30216
type_CASH_OUT,2.55285,2.50393,2.63558,2.49359,2.53553,2.54429
type_DEBIT,0,0.00930054,0,5.79812e-05,7.66744e-05,0.00188704
type_PAYMENT,0.0301811,0.0123071,0.0277804,0.0270889,0.0315351,0.0257785
type_TRANSFER,0.0260496,0.00632127,0.02111,0.0208338,0.0269201,0.020247
