feature,client_0,client_1,client_2,client_3,client_4,mean
step,0.664028,0.675133,0.820723,0.653472,0.744611,0.711593
amount,3.38236,3.19973,3.32826,3.41662,3.8333,3.43205
oldbalanceOrg,1.91808,1.74347,2.22134,1.87691,1.72873,1.89771
newbalanceOrig,4.5332,4.40089,4.32701,5.33539,4.06471,4.53224
oldbalanceDest,4.04496,3.79422,3.09287,3.98246,3.17313,3.61753
newbalanceDest,6.6509,5.67197,5.09064,6.65245,5.65769,5.94473
errorBalanceOrig,6.4304,6.28262,6.73136,6.8626,7.27198,6.71579
errorBalanceDest,2.036,1.64497,1.3777,1.65286,1.65058,1.67242
type_CASH_IN,6.68463,6.4111,4.8408,6.14401,5.10158,5.83642
type_CASH_OUT,2.18489,2.03647,2.34713,2.29531,2.45248,2.26326
type_DEBIT,0,0.0133006,0,0.0172363,0.0122512,0.0085576
type_PAYMENT,0.0589365,0.0173145,0.0407218,0.0191975,0.01635,0.0305041
type_TRANSFER,0.0503102,0.0126114,0.032716,0.011724,0.0108879,0.0236499
