feature,client_0,client_1,client_2,client_3,client_4,mean
step,0.339736,0.216558,0.380985,0.316866,0.368647,0.324558
amount,0.216653,0.443275,0.254425,0.267724,0.270891,0.290594
oldbalanceOrg,0.206419,0.171417,0.220184,0.200925,0.247266,0.209242
newbalanceOrig,1.8431,3.73883,1.98362,1.99878,2.0238,2.31763
oldbalanceDest,0.39593,0.908335,0.392748,0.412509,0.465638,0.515032
newbalanceDest,0.353682,0.649654,0.239038,0.298627,0.256829,0.359566
errorBalanceOrig,2.2612,7.37428,2.26268,2.28843,2.37712,3.31274
errorBalanceDest,0.664181,1.00612,0.650737,0.612583,0.701731,0.72707
type_CASH_IN,0.000203913,0.00118314,0.00016588,9.47795e-05,0.000128391,0.000355221
type_CASH_OUT,0.361231,0.770714,0.365437,0.320512,0.387127,0.441004
type_DEBIT,0,0,0,0,0,0
type_PAYMENT,1.04325e-05,1.24842e-05,1.1277e-05,1.72186e-05,1.82419e-05,1.39308e-05
type_TRANSFER,0.479695,2.30644,0.22985,0.336845,0.265943,0.723755
