feature,client_0,client_1,client_2,client_3,client_4,mean
step,0.0264602,0.0694224,0.0273198,0.026239,0.0274823,0.0353848
amount,0.0327885,0.12624,0.0290855,0.0320084,0.0280233,0.0496291
oldbalanceOrg,0.0874265,0.0827794,0.0986159,0.0956425,0.108007,0.0944943
newbalanceOrig,1.27646,2.81686,1.44406,1.25066,1.52815,1.66324
oldbalanceDest,0.211032,0.437004,0.215911,0.203606,0.282089,0.269928
newbalanceDest,0.0368771,0.184037,0.0303607,0.0361493,0.0359673,0.0646784
errorBalanceOrig,1.36678,5.04907,1.50143,1.32076,1.62295,2.1722
errorBalanceDest,0.202015,0.456748,0.171076,0.179338,0.246866,0.251209
type_CASH_IN,0.000243489,0.0016506,0.000312166,0.000364348,0.000105615,0.000535244
type_CASH_OUT,0.0567464,0.113356,0.0625446,0.0593675,0.0665783,0.0717185
type_DEBIT,0,0,0,0,0,0
type_PAYMENT,0.013226,0.0499523,0.0151067,0.0135159,0.0172439,0.021809
type_TRANSFER,0.0693084,0.461245,0.0590894,0.0672856,0.0645823,0.144302
