feature,client_0,client_1,client_2,client_3,client_4,mean
step,0.0749257,0.0849421,0.0690205,0.0922948,0.085332,0.081303
amount,0.077597,0.0740051,0.080637,0.0836937,0.070079,0.0772023
oldbalanceOrg,0.740189,0.499935,0.457716,0.813367,2.23282,0.948806
newbalanceOrig,11.4263,9.47279,10.2625,11.0413,9.64785,10.3702
oldbalanceDest,0.30655,0.293105,0.336162,0.336203,0.289738,0.312351
newbalanceDest,0.132645,0.128103,0.14179,0.130218,0.116976,0.129947
errorBalanceOrig,12.1107,9.86722,10.6301,11.759,11.8129,11.236
errorBalanceDest,0.0692459,0.0661722,0.0738102,0.0752721,0.0712741,0.0711549
type_CASH_IN,0.0176648,0.0283475,0.0226835,0.0592607,0.0439902,0.0343893
type_CASH_OUT,0.0694022,0.0612773,0.0697633,0.0672339,0.0531504,0.0641654
type_DEBIT,0,0,0,0,0,0
type_PAYMENT,0,0,0,0,0,0
type_TRANSFER,0.0553712,0.0821935,0.0656171,0.0723347,0.0896232,0.073028
