feature,client_0,client_1,client_2,client_3,client_4,mean
step,0.0129307,0.0139658,0.0169273,0.0152112,0.0163883,0.0150847
amount,0.0507074,0.0545072,0.0535453,0.0390747,0.0677902,0.053125
oldbalanceOrg,0.0590154,0.0509212,0.0781405,0.0621527,0.0683514,0.0637162
newbalanceOrig,1.20701,1.38195,1.54203,1.26816,1.42459,1.36475
oldbalanceDest,0.109461,0.0953501,0.139952,0.131025,0.149282,0.125014
newbalanceDest,0.0361859,0.0340634,0.0242898,0.0252949,0.0355958,0.031086
errorBalanceOrig,1.26994,1.4238,1.5806,1.31111,1.56381,1.42985
errorBalanceDest,0.00595694,0.00428573,0.00391721,0.0055549,0.0286122,0.0096654
type_CASH_IN,0,0,0,0,0,0
type_CASH_OUT,0.150622,0.140372,0.196837,0.171091,0.166515,0.165087
type_DEBIT,0,0,0,0,0,0
type_PAYMENT,0,0,0,0,0,0
type_TRANSFER,0.0455409,0.0417013,0.0330556,0.033557,0.0460915,0.0399893
