feature,client_0,client_1,client_2,client_3,client_4,mean
step,0.379681,0.454609,0.377583,0.382167,0.37903,0.394614
amount,1.01436,3.88785,0.895829,0.972819,0.958497,1.54587
oldbalanceOrg,0.512751,0.841728,0.567407,0.464548,0.459009,0.569088
newbalanceOrig,0.470899,0.526573,0.523168,0.427052,0.423345,0.474207
oldbalanceDest,0.215568,0.212912,0.244746,0.212604,0.195708,0.216308
newbalanceDest,0.0478011,0.0518556,0.0520559,0.0466766,0.0428289,0.0482436
errorBalanceOrig,3.06532,2.60157,2.82871,2.94403,2.93295,2.87451
errorBalanceDest,0.380261,1.26842,0.488814,0.422429,0.473906,0.606766
type_CASH_IN,0.307225,0.264628,0.307225,0.278827,0.274094,0.2864
type_CASH_OUT,0.579119,0.677267,0.677267,0.584572,0.677267,0.639098
type_DEBIT,0.0111815,0.0111815,0.0295936,0.0111815,0.0111815,0.0148639
type_PAYMENT,0.636734,0.545976,0.596801,0.680298,0.629473,0.617856
type_TRANSFER,0.403492,0.652028,0.279224,0.294757,0.263691,0.378638
