feature,client_0,client_1,client_2,client_3,client_4,mean
step,0.348008,0.417085,0.346418,0.358042,0.347745,0.36346
amount,1.0876,4.18228,0.963672,1.01788,1.03109,1.6565
oldbalanceOrg,0.458328,0.640394,0.431689,0.47812,0.349218,0.47155
newbalanceOrig,0.864846,0.828507,0.82315,0.918654,0.666089,0.820249
oldbalanceDest,0.208119,0.212355,0.244105,0.2216,0.195196,0.216275
newbalanceDest,0.0326077,0.0374003,0.0375447,0.0352124,0.0308899,0.034731
errorBalanceOrig,3.55994,3.07012,3.33817,3.62414,3.46119,3.41071
errorBalanceDest,0.607399,1.3475,0.519289,0.395004,0.503452,0.674529
type_CASH_IN,0.10478,0.0837977,0.0972864,0.109276,0.0867952,0.0963872
type_CASH_OUT,0.339071,0.36876,0.36876,0.321258,0.36876,0.353322
type_DEBIT,0.0123577,0.0123577,0.0327066,0.0123577,0.0123577,0.0164275
type_PAYMENT,0.539669,0.476325,0.520666,0.552337,0.54917,0.527633
type_TRANSFER,0.111934,0.261382,0.111934,0.105707,0.105707,0.139333
