feature,client_0,client_1,client_2,client_3,client_4,mean
step,0.602244,0.600915,0.601674,0.601325,0.600384,0.601308
amount,1.06175,1.14617,1.07357,1.05921,1.49935,1.16801
oldbalanceOrg,0.362201,0.474273,0.442557,0.426712,0.497174,0.440584
newbalanceOrig,0.622342,0.814379,0.750653,0.729572,0.85185,0.753759
oldbalanceDest,0.324539,0.333746,0.329581,0.342422,0.418597,0.349777
newbalanceDest,0.133966,0.139177,0.136903,0.14124,0.176589,0.145575
errorBalanceOrig,3.02337,3.27452,2.99822,3.02075,3.98438,3.26025
errorBalanceDest,0.45519,0.433232,0.403174,0.421408,0.450152,0.432631
type_CASH_IN,1.01056,1.18506,1.04546,1.02801,1.13271,1.08036
type_CASH_OUT,2.21555,2.13726,2.27426,2.19597,2.19597,2.2038
type_DEBIT,0.0212019,0.0561143,0.0212019,0.0212019,0.0212019,0.0281844
type_PAYMENT,2.39656,2.18973,2.29314,2.35778,2.16387,2.28021
type_TRANSFER,0.865894,1.3537,1.0285,1.0285,1.51631,1.15858
