feature,client_0,client_1,client_2,client_3,client_4,mean
step,0.0272207,0.0325926,0.0270703,0.027399,0.0271741,0.0282913
amount,0.0605252,0.231982,0.0534528,0.0580467,0.0571921,0.0922398
oldbalanceOrg,0.0238485,0.0391496,0.0263907,0.0216066,0.021349,0.0264689
newbalanceOrig,0.0693199,0.0775155,0.0770143,0.0628653,0.0623196,0.0698069
oldbalanceDest,0.0106559,0.0105246,0.0120982,0.0105094,0.00967418,0.0106924
newbalanceDest,0.00129086,0.00140035,0.00140576,0.0012605,0.00115659,0.00130281
errorBalanceOrig,0.126162,0.107075,0.116423,0.12117,0.120714,0.118309
errorBalanceDest,0.02455,0.0818903,0.0315583,0.0272724,0.0305958,0.0391734
type_CASH_IN,0.342551,0.295056,0.342551,0.310888,0.30561,0.319331
type_CASH_OUT,0.544705,0.637021,0.637021,0.549834,0.637021,0.601121
type_DEBIT,0.0051084,0.0051084,0.0135202,0.0051084,0.0051084,0.00679076
type_PAYMENT,0.507098,0.434819,0.475295,0.541793,0.501316,0.492064
type_TRANSFER,0.312466,0.504933,0.216232,0.228261,0.204203,0.293219
