feature,client_0,client_1,client_2,client_3,client_4,mean
step,0.0223767,0.0268183,0.0222744,0.0230219,0.0223598,0.0233702
amount,0.0655032,0.251887,0.0580393,0.0613044,0.0620995,0.0997667
oldbalanceOrg,0.0294549,0.0411555,0.0277429,0.0307268,0.0224428,0.0303046
newbalanceOrig,0.0902473,0.0864553,0.0858962,0.0958621,0.0695068,0.0855935
oldbalanceDest,0.0102975,0.0105071,0.0120781,0.0109646,0.00965815,0.0107011
newbalanceDest,0.000677472,0.000777044,0.000780045,0.000731587,0.000641781,0.000721586
errorBalanceOrig,0.147105,0.126865,0.137941,0.149758,0.143025,0.140939
errorBalanceDest,0.0411107,0.0912031,0.0351472,0.0267351,0.0340752,0.0456543
type_CASH_IN,0.232826,0.186202,0.216175,0.242817,0.192863,0.214177
type_CASH_OUT,0.361203,0.39283,0.39283,0.342227,0.39283,0.376384
type_DEBIT,0.00351818,0.00351818,0.00931144,0.00351818,0.00351818,0.00467684
type_PAYMENT,0.310037,0.273646,0.29912,0.317315,0.315495,0.303123
type_TRANSFER,0.144674,0.337836,0.144674,0.136626,0.136626,0.180087
