feature,client_0,client_1,client_2,client_3,client_4,mean
step,2.76313,2.75703,2.76051,2.75891,2.75459,2.75883
amount,1.13695,1.22735,1.14961,1.13423,1.60555,1.25074
oldbalanceOrg,0.143816,0.188315,0.175722,0.169431,0.197408,0.174938
newbalanceOrig,0.761472,0.99644,0.918467,0.892674,1.04229,0.922268
oldbalanceDest,0.427987,0.440128,0.434635,0.451569,0.552025,0.461269
newbalanceDest,0.215765,0.224159,0.220496,0.22748,0.284413,0.234463
errorBalanceOrig,1.32176,1.43156,1.31077,1.32061,1.7419,1.42532
errorBalanceDest,0.481122,0.457914,0.426143,0.445416,0.475797,0.457278
type_CASH_IN,3.10485,3.64098,3.21208,3.15846,3.48014,3.3193
type_CASH_OUT,4.2817,4.13041,4.39516,4.24388,4.24388,4.25901
type_DEBIT,0.0478613,0.126673,0.0478613,0.0478613,0.0478613,0.0636236
type_PAYMENT,5.6809,5.19062,5.43576,5.58897,5.12934,5.40512
type_TRANSFER,3.57613,5.59077,4.24768,4.24768,6.26232,4.78491
