dataset,model,condition,arm,explainer,n_clients,manifest_sha256,data_hash,partition_hash,spearman,jaccard_at5,kuncheva,noise_floor,below_floor,top_feature,stability_note
paysim,lr,centralized,none,linear,1,19961dc6a7daae54,dd257865dfff5b8f,n/a (centralized,n/a,n/a,n/a,n/a,n/a,errorBalanceOrig,
paysim,svm,dirichlet,smote,linear,5,28cb8bfe99e13213,dd257865dfff5b8f,09ff2c0d5af4f6c6,0.9626,0.8667,0.87,n/a,n/a,type_CASH_OUT,
paysim,gbm,iid,none,tree,5,74018326d5ce5685,dd257865dfff5b8f,bca1e67969caa7a8,0.9537,1.0,1.0,n/a,n/a,errorBalanceOrig,
paysim,xgb,centralized,smote,tree,1,87686a33d54ab9ac,dd257865dfff5b8f,n/a (centralized,undefined,undefined,undefined,n/a,n/a,errorBalanceOrig,fewer than 2 clients
paysim,svm,iid,none,linear,5,745189cedb725a61,dd257865dfff5b8f,bca1e67969caa7a8,0.9879,1.0,1.0,n/a,n/a,type_PAYMENT,
paysim,gbm,iid,smote,tree,5,62680a7d0e2e5227,dd257865dfff5b8f,bca1e67969caa7a8,0.9956,0.8667,0.87,n/a,n/a,errorBalanceOrig,
paysim,lr,iid,none,linear,5,682188a111a62fe2,dd257865dfff5b8f,bca1e67969caa7a8,0.9841,0.7333,0.74,n/a,n/a,errorBalanceOrig,
paysim,lr,dirichlet,none,linear,5,ba92cf676378d9ec,dd257865dfff5b8f,09ff2c0d5af4f6c6,0.9286,0.7667,0.7725,n/a,n/a,errorBalanceOrig,
paysim,svm,centralized,smote,linear,1,d10e50fdd6b33d88,dd257865dfff5b8f,n/a (centralized,n/a,n/a,n/a,n/a,n/a,type_CASH_IN,
paysim,xgb,centralized,none,tree,1,f0eed90cc02c1ad0,dd257865dfff5b8f,n/a (centralized,undefined,undefined,undefined,n/a,n/a,errorBalanceOrig,fewer than 2 clients
paysim,svm,iid,smote,linear,5,885bfccb4dbdbda2,dd257865dfff5b8f,bca1e67969caa7a8,0.9934,1.0,1.0,n/a,n/a,type_CASH_OUT,
paysim,gbm,dirichlet,none,tree,5,738a0762e496f823,dd257865dfff5b8f,09ff2c0d5af4f6c6,0.9363,0.7667,0.7725,n/a,n/a,errorBalanceOrig,
paysim,lr,iid,smote,linear,5,f3e82acbc2ff3f28,dd257865dfff5b8f,bca1e67969caa7a8,0.967,0.8667,0.87,n/a,n/a,errorBalanceOrig,
paysim,svm,dirichlet,none,linear,5,a2769a4639bd7df3,dd257865dfff5b8f,09ff2c0d5af4f6c6,0.9725,0.8667,0.87,n/a,n/a,type_CASH_OUT,
paysim,lr,dirichlet,smote,linear,5,9e98933a703c3a0f,dd257865dfff5b8f,09ff2c0d5af4f6c6,0.9703,0.7667,0.7725,n/a,n/a,errorBalanceOrig,
paysim,gbm,centralized,none,tree,1,81b2fccdfadf37e6,dd257865dfff5b8f,n/a (centralized,undefined,undefined,undefined,n/a,n/a,newbalanceOrig,fewer than 2 clients
paysim,gbm,dirichlet,smote,tree,5,a9a0d88a31f85cd5,dd257865dfff5b8f,09ff2c0d5af4f6c6,0.9505,0.8667,0.87,n/a,n/a,errorBalanceOrig,
paysim,lr,centralized,smote,linear,1,8efa1933bf50e7ac,dd257865dfff5b8f,n/a (centralized,n/a,n/a,n/a,n/a,n/a,errorBalanceOrig,
paysim,svm,centralized,none,linear,1,ede77c5357aef8b6,dd257865dfff5b8f,n/a (centralized,n/a,n/a,n/a,n/a,n/a,type_CASH_IN,
paysim,gbm,centralized,smote,tree,1,126fb8799af5274f,dd257865dfff5b8f,n/a (centralized,undefined,undefined,undefined,n/a,n/a,newbalanceOrig,fewer than 2 clients
baf,lr,centralized,none,linear,1,64d7244b9feea4cf,b3e0d335cd39bbe7,n/a (centralized,n/a,n/a,n/a,n/a,n/a,prev_address_months_count_missing,
baf,svm,dirichlet,smote,linear,5,1c4f3f51f325f9bb,b3e0d335cd39bbe7,2a1e43d2c0e3b2d5,0.9663,1.0,1.0,n/a,n/a,housing_status_BB,
baf,gbm,iid,none,tree,5,c5d14a1aeaa498cc,b3e0d335cd39bbe7,cd5b049a3e8a4b5f,0.9948,0.8,0.868,n/a,n/a,housing_status_BA,
baf,svm,iid,none,linear,5,6122ddf3b7f66b95,b3e0d335cd39bbe7,cd5b049a3e8a4b5f,0.9082,0.8667,0.912,n/a,n/a,prev_address_months_count_missing,
baf,lr,iid,none,linear,5,53c7710919f270d1,b3e0d335cd39bbe7,cd5b049a3e8a4b5f,0.9865,1.0,1.0,n/a,n/a,prev_address_months_count_missing,
baf,lr,dirichlet,none,linear,5,31e3e741ee77a0ce,b3e0d335cd39bbe7,2a1e43d2c0e3b2d5,0.9861,0.8,0.868,n/a,n/a,prev_address_months_count_missing,
