feature,client_0_s11,client_0_s22,client_1_s11,client_1_s22,client_2_s11,client_2_s22,client_3_s11,client_3_s22,client_4_s11,client_4_s22,mean
income,0.261745,0.263342,0.247241,0.247224,0.258635,0.258016,0.276164,0.278573,0.278138,0.279071,0.264815
name_email_similarity,0.439509,0.437447,0.430605,0.430891,0.453509,0.45381,0.508439,0.510785,0.471407,0.4697,0.46061
prev_address_months_count,0.0242461,0.0234441,0.0209882,0.0201639,0.0199907,0.0194066,0.0221984,0.0231819,0.025216,0.0252457,0.0224081
current_address_months_count,0.480741,0.480538,0.592123,0.591061,0.460284,0.458521,0.470549,0.470972,0.618807,0.619317,0.524291
customer_age,0.117286,0.116676,0.117999,0.117653,0.11359,0.114498,0.124644,0.123279,0.124362,0.12478,0.119477
days_since_request,0.244001,0.245818,0.448813,0.446712,0.0746016,0.0740942,0.375912,0.374387,0.342019,0.342328,0.296869
intended_balcon_amount,0.130505,0.13043,0.126135,0.126577,0.138998,0.138295,0.147382,0.147169,0.139419,0.139684,0.136459
zip_count_4w,0.356273,0.352701,0.245128,0.244462,0.276601,0.277316,0.216407,0.217947,0.247352,0.248598,0.268278
velocity_6h,0.103893,0.103102,0.0917908,0.0919681,0.11577,0.116645,0.101977,0.10179,0.0964139,0.0969477,0.10203
velocity_24h,0.112037,0.112571,0.118581,0.117567,0.132389,0.133796,0.110312,0.10815,0.109701,0.109116,0.116422
velocity_4w,0.322367,0.322085,0.341883,0.344322,0.316754,0.315414,0.446906,0.446295,0.388131,0.390382,0.363454
bank_branch_count_8w,0.331648,0.33385,0.0792728,0.0803105,0.454897,0.455971,0.116069,0.117039,0.290788,0.290596,0.255044
date_of_birth_distinct_emails_4w,0.142322,0.142585,0.131691,0.13133,0.143754,0.142663,0.14094,0.141156,0.144625,0.144994,0.140606
credit_risk_score,0.162053,0.162679,0.188853,0.18919,0.191024,0.192639,0.171292,0.170633,0.19739,0.197282,0.182304
email_is_free,0.299805,0.300942,0.292388,0.291959,0.305592,0.306119,0.214473,0.214892,0.24662,0.248308,0.27211
phone_home_valid,0.596497,0.596269,0.568311,0.568062,0.487369,0.487859,0.625529,0.626254,0.549505,0.550394,0.565605
phone_mobile_valid,0.0517097,0.0519999,0.0386441,0.0393605,0.0510909,0.0501777,0.0692815,0.070594,0.0627053,0.0622104,0.0547774
bank_months_count,0.125462,0.126089,0.130007,0.129499,0.130257,0.129738,0.126835,0.128233,0.121144,0.121999,0.126926
has_other_cards,0.400184,0.401877,0.344714,0.344877,0.334074,0.335872,0.353693,0.355202,0.301734,0.30223,0.347446
