k,between_mean,within_mean,within_min,within_max
1,0.1852,1.0,1.0,1.0
2,0.4292,1.0,1.0,1.0
3,0.5769,1.0,1.0,1.0
4,0.5956,1.0,1.0,1.0
5,0.626,1.0,1.0,1.0
6,0.6071,1.0,1.0,1.0
7,0.6235,1.0,1.0,1.0
8,0.6782,1.0,1.0,1.0
9,0.7609,1.0,1.0,1.0
10,0.78,1.0,1.0,1.0
11,0.7955,1.0,1.0,1.0
12,0.8188,1.0,1.0,1.0
13,0.8489,1.0,1.0,1.0
14,0.8659,1.0,1.0,1.0
15,0.8717,1.0,1.0,1.0
16,0.8766,1.0,1.0,1.0
17,0.868,0.983,0.9149,1.0
18,0.8514,1.0,1.0,1.0
19,0.807,1.0,1.0,1.0
20,0.8036,1.0,1.0,1.0
21,0.7997,1.0,1.0,1.0
22,0.8485,1.0,1.0,1.0
23,0.8169,0.9851,0.9253,1.0
24,0.8595,0.9852,0.9261,1.0
25,0.8753,1.0,1.0,1.0
26,0.8541,0.9854,0.9271,1.0
27,0.8545,1.0,1.0,1.0
28,0.8836,1.0,1.0,1.0
29,0.8833,1.0,1.0,1.0
30,0.8863,0.9853,0.9267,1.0
31,0.9261,1.0,1.0,1.0
32,0.8954,1.0,1.0,1.0
33,0.9091,1.0,1.0,1.0
34,0.8459,1.0,1.0,1.0
35,0.8664,0.9843,0.9214,1.0
36,0.8874,1.0,1.0,1.0
37,0.9174,1.0,1.0,1.0
38,0.9149,1.0,1.0,1.0
39,0.8942,1.0,1.0,1.0
40,0.8808,0.9817,0.9083,1.0
41,0.8946,0.9808,0.9042,1.0
42,0.9043,0.9799,0.8993,1.0
43,0.8828,0.9787,0.8934,1.0
44,0.8409,0.9773,0.8864,1.0
45,0.7556,1.0,1.0,1.0
46,0.721,0.9469,0.8671,1.0
47,0.7586,0.9707,0.8537,1.0
48,0.7545,1.0,1.0,1.0
49,0.7942,1.0,1.0,1.0
50,0.78,1.0,1.0,1.0
51,0.7304,1.0,1.0,1.0
52,0.7532,1.0,1.0,1.0
53,0.6887,1.0,1.0,1.0
54,0.3889,1.0,1.0,1.0
55,1.0,1.0,1.0,1.0
