feature,client_0_s11,client_0_s22,client_1_s11,client_1_s22,client_2_s11,client_2_s22,client_3_s11,client_3_s22,client_4_s11,client_4_s22,mean
income,1.80824,1.8081,2.37429,2.38245,2.28447,2.29813,2.12449,2.12947,2.72329,2.73956,2.26725
name_email_similarity,0.739472,0.734812,0.993688,0.994474,0.935868,0.921302,1.34792,1.36407,0.883151,0.87557,0.979033
prev_address_months_count,0.265871,0.267443,0.263539,0.264461,0.342249,0.337167,0.31389,0.327826,0.337251,0.348225,0.306792
current_address_months_count,0.727686,0.733255,1.36466,1.37159,1.03155,1.02534,0.623594,0.628389,0.81189,0.796694,0.911466
customer_age,0.360193,0.360693,0.664699,0.667408,0.480655,0.477073,0.454131,0.451124,0.563869,0.560531,0.504037
days_since_request,0.220145,0.225882,0.235639,0.240675,0.306246,0.311393,0.271832,0.27937,0.341356,0.336064,0.27686
intended_balcon_amount,1.08918,1.0836,1.29431,1.31835,1.45344,1.44178,0.907529,0.923312,0.959957,0.950971,1.14224
zip_count_4w,1.20826,1.19995,2.22743,2.20741,2.23083,2.21608,1.18239,1.17601,2.36821,2.34969,1.83663
velocity_6h,0.878489,0.87501,1.26706,1.27451,1.00342,0.993166,0.891877,0.879546,1.0283,1.02669,1.01181
velocity_24h,0.307589,0.296967,0.48231,0.490086,0.4364,0.437292,0.369464,0.369307,0.360809,0.361187,0.391141
velocity_4w,0.847162,0.833355,0.837865,0.829316,0.877448,0.891222,0.742533,0.750702,1.41536,1.40036,0.942532
bank_branch_count_8w,0.257673,0.26713,0.278804,0.281872,0.316967,0.329111,0.285935,0.278261,0.414872,0.419215,0.312984
date_of_birth_distinct_emails_4w,0.649226,0.649764,0.658085,0.630085,0.787323,0.785226,0.541108,0.536665,0.498671,0.503901,0.624005
credit_risk_score,0.546107,0.547276,0.554278,0.572036,0.880683,0.889811,0.743659,0.740712,0.9835,0.994958,0.745302
email_is_free,0.490084,0.482878,0.714984,0.716282,0.872297,0.868092,0.653997,0.643229,0.822535,0.82193,0.708631
phone_home_valid,0.690846,0.693293,0.736537,0.731374,0.655323,0.648122,0.651661,0.656229,0.693749,0.695726,0.685286
phone_mobile_valid,0.159976,0.159213,0.201642,0.211033,0.186392,0.184298,0.20764,0.203877,0.0711914,0.0679303,0.165319
bank_months_count,0.668048,0.668876,0.777456,0.793233,0.9891,0.992021,0.968621,0.954092,0.960486,0.952992,0.872493
has_other_cards,1.59054,1.58455,1.43943,1.44095,1.43798,1.42363,1.41671,1.40761,1.88261,1.89337,1.55174
proposed_credit_limit,1.19845,1.21855,1.6266,1.61773,2.29702,2.30811,1.21952,1.22327,1.75413,1.75643,1.62198
