k,between_mean,within_mean,within_min,within_max
1,0.1852,1.0,1.0,1.0
2,0.4292,1.0,1.0,1.0
3,0.4712,1.0,1.0,1.0
4,0.4338,1.0,1.0,1.0
5,0.494,1.0,1.0,1.0
6,0.551,1.0,1.0,1.0
7,0.6644,0.9673,0.8363,1.0
8,0.7367,1.0,1.0,1.0
9,0.8273,1.0,1.0,1.0
10,0.7678,1.0,1.0,1.0
11,0.7727,1.0,1.0,1.0
12,0.8081,1.0,1.0,1.0
13,0.8136,0.9799,0.8993,1.0
14,0.8179,1.0,1.0,1.0
15,0.8304,0.9633,0.9083,1.0
16,0.8502,0.9824,0.9119,1.0
17,0.8638,0.983,0.9149,1.0
18,0.8266,1.0,1.0,1.0
19,0.8472,1.0,1.0,1.0
20,0.8232,0.9843,0.9214,1.0
21,0.7997,0.9846,0.923,1.0
22,0.7992,0.9697,0.9242,1.0
23,0.8431,1.0,1.0,1.0
24,0.8965,1.0,1.0,1.0
25,0.868,1.0,1.0,1.0
26,0.8541,1.0,1.0,1.0
27,0.8545,1.0,1.0,1.0
28,0.8909,1.0,1.0,1.0
29,0.8906,1.0,1.0,1.0
30,0.912,1.0,1.0,1.0
31,0.9372,0.9852,0.9261,1.0
32,0.8991,0.9851,0.9253,1.0
33,0.9167,0.9848,0.9242,1.0
34,0.9461,1.0,1.0,1.0
35,0.9136,1.0,1.0,1.0
36,0.8713,0.9839,0.9196,1.0
37,0.8307,0.9835,0.9174,1.0
38,0.8127,1.0,1.0,1.0
39,0.7929,0.9647,0.9119,1.0
40,0.7983,1.0,1.0,1.0
41,0.7844,0.9617,0.9042,1.0
42,0.7179,0.9396,0.7985,1.0
43,0.6962,0.9574,0.8934,1.0
44,0.6364,0.9773,0.8864,1.0
45,0.67,1.0,1.0,1.0
46,0.7277,0.9734,0.8671,1.0
47,0.766,1.0,1.0,1.0
48,0.8854,1.0,1.0,1.0
49,0.869,1.0,1.0,1.0
50,0.846,1.0,1.0,1.0
51,0.8113,1.0,1.0,1.0
52,0.7532,1.0,1.0,1.0
53,0.7925,1.0,1.0,1.0
54,0.5926,1.0,1.0,1.0
55,1.0,1.0,1.0,1.0
