feature,client_0_s11,client_0_s22,client_1_s11,client_1_s22,client_2_s11,client_2_s22,client_3_s11,client_3_s22,client_4_s11,client_4_s22,mean
income,0.266078,0.266285,0.277034,0.277588,0.275069,0.275539,0.27079,0.271236,0.270164,0.269786,0.271957
name_email_similarity,0.298298,0.298152,0.292414,0.292773,0.32132,0.321278,0.301413,0.301437,0.31868,0.319114,0.306488
prev_address_months_count,0.0254218,0.0266227,0.0200308,0.0201268,0.0276755,0.0272743,0.0230776,0.0230252,0.0426386,0.043032,0.0278925
current_address_months_count,0.566558,0.56685,0.58419,0.583345,0.394009,0.393934,0.601116,0.60116,0.540202,0.539418,0.537078
customer_age,0.114146,0.113456,0.110976,0.111535,0.119165,0.119327,0.105848,0.106196,0.110245,0.110533,0.112143
days_since_request,0.483795,0.484556,0.350644,0.351371,0.319887,0.319347,0.17986,0.180194,0.377629,0.377002,0.342428
intended_balcon_amount,0.223856,0.223613,0.230998,0.230184,0.226254,0.226506,0.214991,0.21399,0.228395,0.228886,0.224767
zip_count_4w,0.204771,0.204971,0.172148,0.172119,0.17258,0.1736,0.200276,0.200552,0.160625,0.160095,0.182174
velocity_6h,0.0248062,0.0248578,0.0314496,0.0311637,0.026936,0.0268052,0.0375167,0.0381876,0.0445755,0.0445981,0.0330896
velocity_24h,0.211137,0.211317,0.266447,0.267522,0.278684,0.278896,0.212126,0.21265,0.219215,0.219867,0.237786
velocity_4w,0.183637,0.182854,0.1828,0.182686,0.26597,0.265632,0.1849,0.185189,0.239177,0.240757,0.21136
bank_branch_count_8w,0.186181,0.186982,0.277036,0.2767,0.106934,0.106771,0.107317,0.109055,0.101312,0.100783,0.155907
date_of_birth_distinct_emails_4w,0.0694993,0.0703383,0.0582687,0.0582837,0.0627124,0.0625917,0.0663973,0.0662333,0.0634208,0.0632329,0.0640979
credit_risk_score,0.117548,0.117813,0.11161,0.112133,0.12638,0.126365,0.120146,0.120288,0.125487,0.125938,0.120371
email_is_free,0.302556,0.303315,0.283977,0.283311,0.305238,0.30573,0.290311,0.290653,0.301354,0.300708,0.296715
phone_home_valid,0.454732,0.453884,0.476403,0.476139,0.491378,0.492343,0.426588,0.426002,0.460133,0.460512,0.461812
phone_mobile_valid,0.0274537,0.0274182,0.0221334,0.0218768,0.0572794,0.057424,0.0226483,0.0224225,0.0237429,0.0239167,0.0306316
bank_months_count,0.147781,0.14771,0.135592,0.13603,0.150886,0.151394,0.132625,0.132957,0.142979,0.142954,0.142091
has_other_cards,0.283093,0.283071,0.33991,0.339766,0.290451,0.290851,0.294541,0.294585,0.406002,0.406361,0.322863
proposed_credit_limit,0.0725184,0.0731444,0.0615301,0.0617994,0.0666702,0.0671958,0.0548141,0.0551334,0.0764529,0.0760538,0.0665312
foreign_request,0.0181207,0.0183144,0.0207177,0.0207145,0.0511699,0.0519674,0.0198582,0.0198666,0.0299322,0.0311009,0.0281762
session_length_in_minutes,0.0912613,0.0917009,0.0763486,0.07645,0.0899319,0.0903055,0.100349,0.100304,0.092744,0.0930872,0.0902482
keep_alive_session,0.336923,0.337679,0.316526,0.315905,0.352308,0.35181,0.347003,0.347852,0.389578,0.389269,0.348485
device_distinct_emails_8w,0.0393889,0.0389212,0.0346036,0.0346671,0.0570663,0.0565753,0.0394157,0.039462,0.0349335,0.0348539,0.0409887
prev_address_months_count_missing,0.32663,0.326561,0.347343,0.347376,0.431016,0.430779,0.349347,0.349111,0.330777,0.330341,0.356928
bank_months_count_missing,0.0340121,0.0345767,0.0289545,0.029431,0.0522536,0.0519386,0.0324401,0.0335169,0.0378754,0.0381747,0.0373174
current_address_months_count_missing,0.0104481,0.0103013,0,0,0.0107186,0.010543,0,0,0,0,0.0042011
session_length_in_minutes_missing,0,0,0,0,0,0,0,0,0,0,0
device_distinct_emails_8w_missing,0,0,0,0,0,0,0,0,0,0,0
payment_type_AA,0.0350082,0.0349858,0.0276628,0.0275364,0.028645,0.028448,0.0286146,0.0284821,0.0350624,0.0350753,0.0309521
payment_type_AB,0.0583057,0.0582619,0.0520313,0.0514302,0.0578569,0.0584769,0.0525877,0.0517386,0.0561935,0.0558835,0.0552766
payment_type_AC,0.0665679,0.0659855,0.0542951,0.0548879,0.0785192,0.0788404,0.0574766,0.0579716,0.0569265,0.0562392,0.062771
payment_type_AD,0.00372969,0.00362515,0.00284189,0.00273559,0.00282408,0.00323696,0.00949111,0.00947724,0.0110558,0.0106445,0.0059662
payment_type_AE,0,0,0,0,0,0,0,0,0,0,0
employment_status_CA,0.0172618,0.0170645,0.0177365,0.0181469,0.0192913,0.0193174,0.0162955,0.0166472,0.0173844,0.0171739,0.0176319
employment_status_CB,0.0685505,0.0685634,0.115866,0.115463,0.108836,0.108761,0.0632738,0.0635224,0.130379,0.129428,0.0972643
employment_status_CC,0.00906409,0.00939138,0.00942499,0.00941109,0.00904928,0.00912669,0.00359449,0.0036079,0.00374448,0.00365746,0.00700719
employment_status_CD,0.0208683,0.0208123,0.0199425,0.0198832,0.0214356,0.0214439,0.0211977,0.0210753,0.0228984,0.0227151,0.0212272
employment_status_CE,0.0358711,0.0355437,0.0402774,0.0404429,0.0171558,0.0169976,0.0333075,0.0330728,0.039688,0.0397691,0.0332126
employment_status_CF,0.0424394,0.0425372,0.0288526,0.0288719,0.0434504,0.0434259,0.0565744,0.0567443,0.0321899,0.0320558,0.0407142
employment_status_CG,0,0,0,0,0,0,0,0,0,0,0
housing_status_BA,0.165638,0.16585,0.178274,0.178558,0.192242,0.191901,0.228534,0.228855,0.166302,0.166249,0.18624
housing_status_BB,0.115252,0.115815,0.170741,0.171582,0.172387,0.172582,0.116021,0.115597,0.118371,0.118942,0.138729
housing_status_BC,0.0963462,0.0962282,0.0911634,0.091184,0.118035,0.117144,0.0983027,0.0984469,0.100807,0.0998416,0.10075
housing_status_BD,0.00123429,0.00119608,0.00786315,0.00809285,0.00893182,0.00793061,0.00108958,0.00120064,0.00129739,0.00127207,0.00401085
housing_status_BE,0.12653,0.1269,0.122231,0.12138,0.175153,0.175661,0.20643,0.205723,0.130214,0.129469,0.151969
housing_status_BF,0,0,0,0,0.00832417,0.00849813,0,0,0,0,0.00168223
housing_status_BG,0,0,0,0,0.0088919,0.00835166,0,0,0,0,0.00172436
source_INTERNET,0.00693447,0.00623251,7.01589e-05,6.07393e-05,7.18412e-05,6.86471e-05,0.00596341,0.00586904,0.00626527,0.00581734,0.00373534
source_TELEAPP,0.0075245,0.00703739,0.000536634,0.000552805,0.000578552,0.000604978,0.00658256,0.00639532,0.00686869,0.00689587,0.00435773
device_os_linux,0.235924,0.235404,0.298374,0.298152,0.278913,0.278526,0.236759,0.236755,0.234413,0.234413,0.256763
device_os_macintosh,0.0120522,0.012161,0.0123327,0.0123277,0.0177243,0.0177233,0.0112837,0.0113441,0.0122343,0.0120648,0.0131248
device_os_other,0.180633,0.179986,0.144783,0.144796,0.187912,0.18768,0.179722,0.180187,0.14747,0.147937,0.168111
device_os_windows,0.259337,0.259117,0.253286,0.252891,0.317218,0.317099,0.226411,0.226902,0.283587,0.283072,0.267892
device_os_x11,0.00783328,0.00725872,0.000604236,0.000599504,0.000532933,0.000533096,0.00687229,0.00654883,0.000717189,0.000726326,0.00322264
