k,between_mean,within_mean,within_min,within_max
1,0.5926,1.0,1.0,1.0
2,0.5849,1.0,1.0,1.0
3,0.7179,1.0,1.0,1.0
4,0.7304,1.0,1.0,1.0
5,0.714,1.0,1.0,1.0
6,0.8129,1.0,1.0,1.0
7,0.7708,1.0,1.0,1.0
8,0.8245,1.0,1.0,1.0
9,0.8539,1.0,1.0,1.0
10,0.8228,0.9511,0.8778,1.0
11,0.8182,1.0,1.0,1.0
12,0.8295,1.0,1.0,1.0
13,0.859,1.0,1.0,1.0
14,0.8754,1.0,1.0,1.0
15,0.8533,1.0,1.0,1.0
16,0.8766,1.0,1.0,1.0
17,0.8893,1.0,1.0,1.0
18,0.9009,1.0,1.0,1.0
19,0.8955,0.9839,0.9196,1.0
20,0.9057,1.0,1.0,1.0
21,0.923,1.0,1.0,1.0
22,0.9242,1.0,1.0,1.0
23,0.9253,1.0,1.0,1.0
24,0.9261,1.0,1.0,1.0
25,0.956,1.0,1.0,1.0
26,0.9489,1.0,1.0,1.0
27,0.9272,1.0,1.0,1.0
28,0.9491,1.0,1.0,1.0
29,0.9708,1.0,1.0,1.0
30,0.9707,1.0,1.0,1.0
31,0.9335,1.0,1.0,1.0
32,0.9029,1.0,1.0,1.0
33,0.8712,0.9848,0.9242,1.0
34,0.8382,0.9846,0.923,1.0
35,0.8586,1.0,1.0,1.0
36,0.8874,1.0,1.0,1.0
37,0.9009,1.0,1.0,1.0
38,0.9234,1.0,1.0,1.0
39,0.9295,1.0,1.0,1.0
40,0.9633,1.0,1.0,1.0
41,0.9617,1.0,1.0,1.0
42,1.0,1.0,1.0,1.0
43,0.9147,1.0,1.0,1.0
44,0.8295,1.0,1.0,1.0
45,0.7494,0.9756,0.8778,1.0
46,0.7011,0.9734,0.8671,1.0
47,0.6928,1.0,1.0,1.0
48,0.7545,1.0,1.0,1.0
49,0.8503,1.0,1.0,1.0
50,0.824,1.0,1.0,1.0
51,0.7843,1.0,1.0,1.0
52,0.7179,1.0,1.0,1.0
53,0.7925,1.0,1.0,1.0
54,1.0,1.0,1.0,1.0
55,1.0,1.0,1.0,1.0
