feature,client_0_s11,client_0_s22,client_1_s11,client_1_s22,client_2_s11,client_2_s22,client_3_s11,client_3_s22,client_4_s11,client_4_s22,mean
income,0.0137145,0.0136715,0.0156183,0.0155714,0.0162815,0.0162203,0.0141965,0.0141369,0.0160475,0.0160314,0.015149
name_email_similarity,0.0227743,0.0227416,0.0260847,0.0260851,0.0287011,0.0287135,0.0232447,0.02323,0.0270924,0.0271109,0.0255778
prev_address_months_count,0.00111025,0.00109506,0.001171,0.00116097,0.00129929,0.00132722,0.000880039,0.000885537,0.00108528,0.00112147,0.00111361
current_address_months_count,0.01843,0.0184769,0.0221497,0.0221611,0.0210547,0.0210158,0.0197114,0.0197103,0.0260159,0.0260168,0.0214743
customer_age,0.00468733,0.00470086,0.00592395,0.00589078,0.00644871,0.00645407,0.00547967,0.00551937,0.00665169,0.00661841,0.00583748
days_since_request,0.00409389,0.00407426,0.00572924,0.00577908,0.00401736,0.00399833,0.00577178,0.00576844,0.00566459,0.00570544,0.00506024
intended_balcon_amount,0.0190219,0.0190228,0.0160854,0.0160257,0.0169521,0.0169064,0.0157412,0.0157697,0.0194326,0.0193981,0.0174356
zip_count_4w,0.00484526,0.00482267,0.00615608,0.00621824,0.00627566,0.0062344,0.00499996,0.00492377,0.00534194,0.00532608,0.00551441
velocity_6h,0.0010707,0.00108308,0.0011844,0.00120692,0.00106267,0.00103033,0.00122244,0.0012016,0.00116618,0.00119226,0.00114206
velocity_24h,0.000682858,0.000654927,0.000606094,0.000621523,0.000743335,0.000776544,0.000661273,0.000659858,0.000739796,0.000776125,0.000692233
velocity_4w,0.00886487,0.00883052,0.00798925,0.00802462,0.00961482,0.00959673,0.00764845,0.0076514,0.00799202,0.00801114,0.00842238
bank_branch_count_8w,0.0163343,0.0163416,0.0134892,0.0134632,0.0161185,0.0160386,0.0139089,0.0138821,0.0123832,0.0123767,0.0144336
date_of_birth_distinct_emails_4w,0.00649327,0.00649479,0.0064176,0.00638551,0.00669064,0.00672554,0.00576711,0.00577949,0.00650776,0.00643862,0.00637003
credit_risk_score,0.0069766,0.00701212,0.00733341,0.00733535,0.0101745,0.0101618,0.0067652,0.0067437,0.00748142,0.00747639,0.00774605
email_is_free,0.00923319,0.00922353,0.0105205,0.0104972,0.0117973,0.0118577,0.0083642,0.00840412,0.00870648,0.00879174,0.00973959
phone_home_valid,0.0246697,0.0247234,0.025655,0.0256954,0.0236808,0.0236209,0.023888,0.0238386,0.0199877,0.019983,0.0235743
phone_mobile_valid,0.000456795,0.000461575,8.42116e-05,9.97336e-05,0.000516815,0.000494948,0.000423638,0.000431494,0.000446107,0.000454664,0.000386998
bank_months_count,0.00295695,0.0029356,0.00332743,0.00333741,0.0046847,0.00469033,0.00265314,0.00268651,0.00342746,0.00340066,0.00341002
has_other_cards,0.0200146,0.0199712,0.0116636,0.0116529,0.0153485,0.0153077,0.0117793,0.0118094,0.0115049,0.0115141,0.0140566
proposed_credit_limit,0.00595866,0.00599396,0.00349685,0.00344122,0.00581861,0.00583101,0.00343481,0.00345659,0.00364469,0.00367728,0.00447537
foreign_request,0.000699625,0.000722835,0.000191397,0.000206823,0.000598596,0.000628346,0.000716298,0.000713897,0.000180593,0.000183828,0.000484224
session_length_in_minutes,0.0010064,0.00104039,0.000965743,0.000939709,0.00120745,0.00122094,0.000934525,0.00094811,0.00103336,0.00101766,0.00103143
keep_alive_session,0.020026,0.0200855,0.0201297,0.0200923,0.0234101,0.0234349,0.0179876,0.0180094,0.0218866,0.0218452,0.0206907
device_distinct_emails_8w,0.00336288,0.00336571,0.00311662,0.00311879,0.0031954,0.00318918,0.00320183,0.00320214,0.00482422,0.00486851,0.00354453
prev_address_months_count_missing,0.0120032,0.0119675,0.0108453,0.0108054,0.011207,0.0112114,0.0144311,0.0143896,0.0153408,0.0154066,0.0127608
bank_months_count_missing,0.000616322,0.000632952,0.000565801,0.000571747,0.000616239,0.000624057,0.000844677,0.00085849,0.000821195,0.00084785,0.000699933
