k,between_mean,within_mean,within_min,within_max
1,0.5926,1.0,1.0,1.0
2,0.7925,1.0,1.0,1.0
3,0.7885,1.0,1.0,1.0
4,0.8922,1.0,1.0,1.0
5,0.824,1.0,1.0,1.0
6,0.9252,1.0,1.0,1.0
7,0.9345,1.0,1.0,1.0
8,0.8976,1.0,1.0,1.0
9,0.8671,1.0,1.0,1.0
10,0.9267,1.0,1.0,1.0
11,0.9545,1.0,1.0,1.0
12,1.0,1.0,1.0,1.0
13,0.9597,1.0,1.0,1.0
14,1.0,1.0,1.0,1.0
15,0.9496,0.9817,0.9083,1.0
16,0.9207,1.0,1.0,1.0
17,0.9149,1.0,1.0,1.0
18,0.9505,1.0,1.0,1.0
19,0.9357,1.0,1.0,1.0
20,0.9529,1.0,1.0,1.0
21,1.0,1.0,1.0,1.0
22,0.947,1.0,1.0,1.0
23,0.9178,0.9701,0.9253,1.0
24,0.915,0.9852,0.9261,1.0
25,0.89,0.956,0.9267,1.0
26,0.9052,0.9854,0.9271,1.0
27,0.8872,0.9854,0.9272,1.0
28,0.8945,0.9709,0.9272,1.0
29,0.8796,0.9854,0.9271,1.0
30,0.901,0.956,0.8533,1.0
31,0.8854,0.9704,0.9261,1.0
32,0.8618,0.9552,0.9253,1.0
33,0.875,0.9848,0.9242,1.0
34,0.8536,1.0,1.0,1.0
35,0.8743,0.9843,0.9214,1.0
36,0.8432,0.9518,0.9196,1.0
37,0.8101,0.9339,0.9174,1.0
38,0.7786,0.8978,0.8297,1.0
39,0.6959,0.859,0.8237,0.9119
40,0.6379,0.8717,0.8167,0.9083
41,0.5976,0.885,0.8084,1.0
42,0.587,0.8993,0.7985,1.0
43,0.579,0.936,0.8934,1.0
44,0.5455,0.9773,0.8864,1.0
45,0.5967,0.9756,0.8778,1.0
46,0.6081,0.9734,0.8671,1.0
47,0.6709,0.9707,0.8537,1.0
48,0.7217,1.0,1.0,1.0
49,0.7942,1.0,1.0,1.0
50,0.747,0.912,0.78,1.0
51,0.6495,0.8922,0.4608,1.0
52,0.6298,0.7885,-0.0577,1.0
53,0.559,0.7925,-0.0377,1.0
54,0.338,0.7963,-0.0185,1.0
55,1.0,1.0,1.0,1.0
