feature,client_0_s11,client_0_s22,client_1_s11,client_1_s22,client_2_s11,client_2_s22,client_3_s11,client_3_s22,client_4_s11,client_4_s22,mean
income,0.00880785,0.00876572,0.00922598,0.00926167,0.00958426,0.0095919,0.00894057,0.00895274,0.00957308,0.0095874,0.00922912
name_email_similarity,0.00874487,0.00873222,0.0103733,0.0103587,0.0110762,0.0110784,0.00886712,0.0088643,0.0100824,0.0100972,0.00982747
prev_address_months_count,0.00068016,0.000670706,0.000619358,0.00062163,0.000644854,0.00062676,0.000752304,0.000730181,0.000655746,0.000655129,0.000665683
current_address_months_count,0.00566337,0.00566722,0.00787871,0.00784788,0.00740282,0.00736661,0.00641068,0.00639253,0.00718204,0.0071919,0.00690037
customer_age,0.00905507,0.00908428,0.0155479,0.0155654,0.0108595,0.0108842,0.0101837,0.010172,0.00859741,0.00859863,0.0108548
days_since_request,0.00651777,0.00650281,0.00521887,0.00522788,0.00527269,0.00527156,0.00887126,0.00886774,0.00735949,0.00735053,0.00664606
intended_balcon_amount,0.00752804,0.00753907,0.00476186,0.00480067,0.00628817,0.00622228,0.00661,0.0066457,0.00592652,0.00593696,0.00622593
zip_count_4w,0.00159838,0.00160931,0.00191853,0.00193555,0.001824,0.00185243,0.00165842,0.00165593,0.00187169,0.00189146,0.00178157
velocity_6h,0.00105976,0.00105619,0.000962409,0.000974441,0.0012345,0.00121352,0.00101723,0.00100617,0.000987943,0.00100018,0.00105123
velocity_24h,0.00154912,0.00155537,0.00219673,0.00219854,0.00158288,0.00154484,0.00225847,0.00223266,0.00185312,0.00185521,0.00188269
velocity_4w,0.00648108,0.00648875,0.00604204,0.00605808,0.00649554,0.00646422,0.00641826,0.00641013,0.00618654,0.00618262,0.00632273
bank_branch_count_8w,0.00521418,0.00521703,0.00515996,0.0052021,0.00642766,0.00639967,0.00541959,0.00540497,0.00501487,0.00501134,0.00544714
date_of_birth_distinct_emails_4w,0.00304821,0.00304374,0.00347694,0.00346263,0.00349691,0.00350896,0.00340704,0.00343574,0.00329515,0.00331448,0.00334898
credit_risk_score,0.00364871,0.00362877,0.00355701,0.00358046,0.00580634,0.00582944,0.0040864,0.00408019,0.00381908,0.00379464,0.0041831
email_is_free,0.00824217,0.00827207,0.00842936,0.00843826,0.0113484,0.0113433,0.0104827,0.0104633,0.00742092,0.00741946,0.00918598
phone_home_valid,0.0178332,0.0178648,0.0159194,0.0159181,0.0180896,0.0181263,0.0156161,0.0156413,0.016739,0.0167604,0.0168508
phone_mobile_valid,0.000510648,0.000512222,0.000564741,0.000588326,0.000568745,0.000550277,0.000578135,0.00056353,0.00028647,0.000285555,0.000500865
