k,between_mean,within_mean,within_min,within_max
1,1.0,1.0,1.0,1.0
2,0.7925,1.0,1.0,1.0
3,1.0,1.0,1.0,1.0
4,0.8113,1.0,1.0,1.0
5,0.692,1.0,1.0,1.0
6,0.682,1.0,1.0,1.0
7,0.7872,1.0,1.0,1.0
8,0.8976,1.0,1.0,1.0
9,0.8937,1.0,1.0,1.0
10,0.9022,1.0,1.0,1.0
11,0.8409,1.0,1.0,1.0
12,0.8508,1.0,1.0,1.0
13,0.869,1.0,1.0,1.0
14,0.9329,1.0,1.0,1.0
15,0.9267,1.0,1.0,1.0
16,0.9471,1.0,1.0,1.0
17,0.9319,1.0,1.0,1.0
18,0.9505,1.0,1.0,1.0
19,0.9678,1.0,1.0,1.0
20,0.9293,1.0,1.0,1.0
21,0.8922,1.0,1.0,1.0
22,0.9091,1.0,1.0,1.0
23,0.9402,1.0,1.0,1.0
24,0.9446,0.9852,0.9261,1.0
25,1.0,1.0,1.0,1.0
26,1.0,1.0,1.0,1.0
27,0.9454,0.9854,0.9272,1.0
28,0.9491,1.0,1.0,1.0
29,0.938,0.9708,0.9271,1.0
30,0.9157,0.9853,0.9267,1.0
31,0.8891,0.9556,0.9261,1.0
32,0.9103,0.9851,0.9253,1.0
33,0.9394,0.9848,0.9242,1.0
34,0.9114,0.9846,0.923,1.0
35,0.9136,1.0,1.0,1.0
36,0.8955,0.9678,0.9196,1.0
37,0.8679,0.9835,0.9174,1.0
38,0.8127,0.983,0.9149,1.0
39,0.7532,0.9471,0.9119,1.0
40,0.7067,0.89,0.8167,1.0
41,0.6838,0.885,0.8084,1.0
42,0.6928,0.8993,0.7985,1.0
43,0.6856,0.936,0.8934,1.0
44,0.625,0.9773,0.8864,1.0
45,0.6822,1.0,1.0,1.0
46,0.721,0.9734,0.8671,1.0
47,0.7952,1.0,1.0,1.0
48,0.8854,1.0,1.0,1.0
49,0.869,1.0,1.0,1.0
50,0.846,1.0,1.0,1.0
51,0.8113,1.0,1.0,1.0
52,0.7532,1.0,1.0,1.0
53,0.7925,1.0,1.0,1.0
54,0.5926,1.0,1.0,1.0
55,1.0,1.0,1.0,1.0
