feature,client_0_s11,client_0_s22,client_1_s11,client_1_s22,client_2_s11,client_2_s22,client_3_s11,client_3_s22,client_4_s11,client_4_s22,mean
income,0.00447613,0.00448894,0.00461078,0.00462971,0.00539815,0.00539955,0.00537412,0.00534851,0.00527758,0.00525475,0.00502582
name_email_similarity,0.00699925,0.00701138,0.00634228,0.00636441,0.00605211,0.00603519,0.00663898,0.00664336,0.00706995,0.00707927,0.00662362
prev_address_months_count,0.00031419,0.000284549,0.000204509,0.0002157,0.000214902,0.000220638,0.000225303,0.000223011,0.000212541,0.000211634,0.000232698
current_address_months_count,0.00752201,0.00755064,0.00571992,0.00571309,0.00558499,0.00559258,0.0060571,0.00603577,0.00734979,0.00731534,0.00644412
customer_age,0.00269072,0.00264771,0.00243087,0.00244676,0.00232681,0.00233871,0.00234,0.00235299,0.00244214,0.00246494,0.00244816
days_since_request,0.00447607,0.00448154,0.00245259,0.00243948,0.00206812,0.00207511,0.00198195,0.00199449,0.00343182,0.00344692,0.00288481
intended_balcon_amount,0.00120644,0.00118581,0.00142289,0.00140494,0.00125851,0.00127724,0.00118521,0.00118308,0.00112946,0.00110898,0.00123626
zip_count_4w,0.00140406,0.00143804,0.00114129,0.00114452,0.0010457,0.00102459,0.00120285,0.00119762,0.00113177,0.0011309,0.00118613
velocity_6h,0.000713773,0.000715088,0.000607967,0.000596351,0.000582447,0.000558341,0.000597482,0.000580932,0.000707464,0.00069984,0.000635969
velocity_24h,0.000482943,0.000472487,0.000448034,0.000455647,0.000462657,0.000455824,0.000453453,0.000442948,0.00045141,0.000446117,0.000457152
velocity_4w,0.00197655,0.00198932,0.00153354,0.00153192,0.00169173,0.00169463,0.00206047,0.00206568,0.00202544,0.00202693,0.00185962
bank_branch_count_8w,0.00550621,0.00548134,0.00443609,0.00442705,0.00442623,0.00442858,0.00480017,0.00481482,0.00497551,0.00500396,0.00483
date_of_birth_distinct_emails_4w,0.00128503,0.00132412,0.00128085,0.00126087,0.00129165,0.00129861,0.00161292,0.00161575,0.00163588,0.0016201,0.00142258
credit_risk_score,0.00352883,0.00353051,0.00331172,0.00330683,0.00362852,0.00364514,0.00421665,0.00424574,0.00396987,0.00395977,0.00373436
email_is_free,0.00338178,0.00336491,0.00294345,0.00292443,0.00273529,0.00273988,0.00259045,0.00260289,0.00339684,0.00339551,0.00300754
phone_home_valid,0.0059334,0.00596734,0.00549861,0.00549292,0.00573106,0.00568786,0.00516183,0.00515622,0.00609161,0.00606364,0.00567845
phone_mobile_valid,0.000270503,0.000261395,8.86718e-05,8.91956e-05,0.000292808,0.000311491,7.96723e-05,7.86862e-05,0.000107074,0.000103598,0.00016831
bank_months_count,0.00185435,0.00187079,0.00151085,0.00150135,0.0019236,0.00195093,0.00167868,0.00166256,0.00173821,0.0017489,0.00174402
has_other_cards,0.00480261,0.00479009,0.00539399,0.00537137,0.00443422,0.00443192,0.00511637,0.00509498,0.00787646,0.00786943,0.00551814
proposed_credit_limit,0.000684469,0.000663631,0.000667335,0.000669181,0.000656397,0.000678433,0.00082126,0.0008281,0.000728989,0.000744343,0.000714214
foreign_request,7.72878e-05,6.97019e-05,9.78496e-05,9.27058e-05,0.000342249,0.000357119,9.71462e-05,9.64452e-05,0.000309124,0.000304953,0.000184458
session_length_in_minutes,0.000442197,0.000472051,0.000426469,0.000426404,0.000446023,0.000460736,0.000462429,0.000474691,0.000436753,0.000452237,0.000449999
keep_alive_session,0.00776715,0.0078041,0.00687476,0.00686606,0.00663855,0.00661138,0.00759557,0.00759497,0.00793762,0.00794312,0.00736333
device_distinct_emails_8w,0.000928885,0.000917173,0.000702844,0.000691368,0.00141234,0.00138025,0.000934604,0.000934403,0.000671184,0.000667567,0.000924062
prev_address_months_count_missing,0.00758208,0.00760924,0.007584,0.00755521,0.00919057,0.00918785,0.00696276,0.00696845,0.00769067,0.00769628,0.00780271
bank_months_count_missing,0.000408217,0.000407907,0.000395504,0.000410328,0.000464312,0.000460277,0.000481285,0.000496069,0.000493356,0.000489001,0.000450626
current_address_months_count_missing,0.000224416,0.000212062,0,0,0.000206299,0.000229456,0,0,0,0,8.72233e-05
session_length_in_minutes_missing,0,0,0,0,0,0,0,0,0,0,0
device_distinct_emails_8w_missing,0,0,0,0,0,0,0,0,0,0,0
payment_type_AA,0.000223425,0.000220475,0.000198057,0.000186123,0.000206711,0.000206609,0.000198999,0.000203797,0.000200897,0.000197662,0.000204275
payment_type_AB,0.000228074,0.000213252,0.00019543,0.000195229,0.000196975,0.000219026,0.000218692,0.000212962,0.000185924,0.000204781,0.000207035
payment_type_AC,0.00054816,0.000558051,0.000490992,0.00048797,0.00061835,0.000642757,0.000529242,0.000495012,0.000571263,0.000575778,0.000551758
payment_type_AD,5.74591e-05,5.19579e-05,5.05482e-05,3.99639e-05,4.53951e-05,4.71583e-05,0.000269455,0.000275529,0.000239885,0.000260789,0.000133814
payment_type_AE,0,0,0,0,0,0,0,0,0,0,0
employment_status_CA,0.000607068,0.000618298,0.000755732,0.000751683,0.00069825,0.000694999,0.000525765,0.000519385,0.000739042,0.000724622,0.000663484
employment_status_CB,0.000158447,0.00016079,0.000269424,0.000266554,0.000271659,0.000300356,0.000118286,0.000107143,0.000295908,0.000302964,0.000225153
employment_status_CC,0.000323132,0.00032243,0.00041656,0.000400586,0.000305129,0.000293789,9.50699e-05,9.50663e-05,9.74004e-05,0.000103462,0.000245262
employment_status_CD,6.19253e-06,8.76312e-06,3.98842e-06,4.38985e-06,6.86881e-06,5.36276e-06,6.95367e-06,4.25193e-06,6.59057e-06,4.92858e-06,5.82902e-06
employment_status_CE,0.000213311,0.000213025,0.000192216,0.000178921,3.9918e-06,4.04708e-06,0.000209503,0.000215487,0.000198307,0.000207789,0.00016366
employment_status_CF,0.00023588,0.000223897,4.56822e-06,4.4922e-06,0.000203749,0.000215127,0.00020764,0.000216284,4.41053e-06,5.42307e-06,0.000132147
employment_status_CG,0,0,0,0,0,0,0,0,0,0,0
