k,between_mean,within_mean,within_min,within_max
1,0.1852,1.0,1.0,1.0
2,0.4292,1.0,1.0,1.0
3,0.7532,1.0,1.0,1.0
4,0.7574,1.0,1.0,1.0
5,0.78,1.0,1.0,1.0
6,0.8503,1.0,1.0,1.0
7,0.8854,1.0,1.0,1.0
8,0.883,1.0,1.0,1.0
9,0.9469,1.0,1.0,1.0
10,1.0,1.0,1.0,1.0
11,0.9545,1.0,1.0,1.0
12,0.936,1.0,1.0,1.0
13,0.9396,0.9799,0.8993,1.0
14,0.9617,1.0,1.0,1.0
15,0.9633,1.0,1.0,1.0
16,0.9647,1.0,1.0,1.0
17,0.9404,1.0,1.0,1.0
18,0.9092,1.0,1.0,1.0
19,0.9357,1.0,1.0,1.0
20,0.9686,1.0,1.0,1.0
21,0.9538,1.0,1.0,1.0
22,0.9242,0.9848,0.9242,1.0
23,0.9253,1.0,1.0,1.0
24,0.9409,1.0,1.0,1.0
25,0.9597,0.9853,0.9267,1.0
26,0.9854,0.9854,0.9271,1.0
27,0.9491,0.9854,0.9272,1.0
28,0.9491,0.9709,0.9272,1.0
29,0.9562,0.9562,0.9271,1.0
30,0.9487,1.0,1.0,1.0
31,0.9187,0.9852,0.9261,1.0
32,0.873,0.9701,0.8505,1.0
33,0.8333,0.9545,0.9242,1.0
34,0.8228,0.9692,0.923,1.0
35,0.7839,0.9214,0.8429,1.0
36,0.7668,0.9196,0.8392,1.0
37,0.7275,0.9009,0.8348,0.9174
38,0.6765,0.8978,0.8297,1.0
39,0.6254,0.8766,0.8237,1.0
40,0.5829,0.89,0.725,1.0
41,0.5928,0.9233,0.7125,1.0
42,0.592,0.8993,0.7985,1.0
43,0.5736,0.9787,0.8934,1.0
44,0.6023,1.0,1.0,1.0
45,0.6089,1.0,1.0,1.0
46,0.6612,0.9734,0.8671,1.0
47,0.6928,1.0,1.0,1.0
48,0.7545,1.0,1.0,1.0
49,0.8129,0.9626,0.8129,1.0
50,0.747,0.868,0.56,1.0
51,0.7304,0.9461,0.7304,1.0
52,0.6651,0.9295,0.6474,1.0
53,0.7146,0.8962,0.4811,1.0
54,1.0,1.0,1.0,1.0
55,1.0,1.0,1.0,1.0
