feature,client_0_s11,client_0_s22,client_1_s11,client_1_s22,client_2_s11,client_2_s22,client_3_s11,client_3_s22,client_4_s11,client_4_s22,mean
income,0.280221,0.28074,0.258702,0.259441,0.263101,0.262449,0.287633,0.288368,0.265852,0.265578,0.271209
name_email_similarity,0.361757,0.362448,0.349032,0.349757,0.34052,0.338587,0.35769,0.356991,0.347854,0.347463,0.35121
prev_address_months_count,0.057406,0.0580047,0.0448212,0.0452605,0.0665588,0.0655757,0.050348,0.0499203,0.0731394,0.0727791,0.0583814
current_address_months_count,0.183035,0.184389,0.190125,0.18954,0.156318,0.156435,0.181762,0.18154,0.202484,0.202804,0.182843
customer_age,0.180876,0.181431,0.161145,0.1622,0.13338,0.132391,0.18417,0.183411,0.172994,0.173391,0.166539
days_since_request,0.0674932,0.0660786,0.0540853,0.0539454,0.0437175,0.0431248,0.0863773,0.0859151,0.097076,0.0965528,0.0694366
intended_balcon_amount,0.073948,0.0747624,0.0639769,0.0650735,0.0575507,0.0581464,0.0624588,0.0625891,0.0562253,0.0555553,0.0630286
zip_count_4w,0.209675,0.210504,0.174123,0.17285,0.186937,0.188157,0.173682,0.173536,0.180169,0.180938,0.185057
velocity_6h,0.0646321,0.0648265,0.0668203,0.0663675,0.0703005,0.0705524,0.07324,0.073451,0.07078,0.0714705,0.0692441
velocity_24h,0.0804986,0.081801,0.0842499,0.0842951,0.0772273,0.0774886,0.0791693,0.0792302,0.075356,0.0752363,0.0794552
velocity_4w,0.217688,0.218689,0.225163,0.225286,0.210773,0.21176,0.244232,0.245351,0.228891,0.2292,0.225703
bank_branch_count_8w,0.0814635,0.0816536,0.0629948,0.0644737,0.0610632,0.0604398,0.0673576,0.0675248,0.0625974,0.0621783,0.0671747
date_of_birth_distinct_emails_4w,0.0994962,0.0999809,0.113533,0.113566,0.101532,0.100796,0.110028,0.108928,0.105364,0.105055,0.105828
credit_risk_score,0.128277,0.127893,0.13414,0.13522,0.169707,0.168861,0.135922,0.135728,0.161671,0.160661,0.145808
