k,between_mean,within_mean,within_min,within_max
1,0.3889,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0
3,0.7179,1.0,1.0,1.0
4,0.8382,1.0,1.0,1.0
5,0.912,1.0,1.0,1.0
6,0.8878,1.0,1.0,1.0
7,0.9345,1.0,1.0,1.0
8,0.9122,0.9707,0.8537,1.0
9,0.8937,1.0,1.0,1.0
10,0.8778,1.0,1.0,1.0
11,0.9205,1.0,1.0,1.0
12,0.8934,1.0,1.0,1.0
13,0.8741,0.9799,0.8993,1.0
14,0.8275,1.0,1.0,1.0
15,0.8075,1.0,1.0,1.0
16,0.8546,0.9824,0.9119,1.0
17,0.851,0.983,0.9149,1.0
18,0.8348,1.0,1.0,1.0
19,0.8633,1.0,1.0,1.0
20,0.8664,1.0,1.0,1.0
21,0.8845,1.0,1.0,1.0
22,0.9091,0.9848,0.9242,1.0
23,0.9327,1.0,1.0,1.0
24,0.9704,1.0,1.0,1.0
25,1.0,1.0,1.0,1.0
26,0.9708,1.0,1.0,1.0
27,0.9491,0.9854,0.9272,1.0
28,0.8909,1.0,1.0,1.0
29,0.876,1.0,1.0,1.0
30,0.846,1.0,1.0,1.0
31,0.8522,0.9852,0.9261,1.0
32,0.8356,1.0,1.0,1.0
33,0.8333,1.0,1.0,1.0
34,0.8613,1.0,1.0,1.0
35,0.835,0.9843,0.9214,1.0
36,0.8231,0.9839,0.9196,1.0
37,0.8183,0.9835,0.9174,1.0
38,0.8467,1.0,1.0,1.0
39,0.8017,0.9824,0.9119,1.0
40,0.7983,1.0,1.0,1.0
41,0.7892,1.0,1.0,1.0
42,0.728,1.0,1.0,1.0
43,0.7122,0.9787,0.8934,1.0
44,0.7273,0.9773,0.8864,1.0
45,0.7861,0.9756,0.8778,1.0
46,0.7476,0.9734,0.8671,1.0
47,0.7074,1.0,1.0,1.0
48,0.7545,1.0,1.0,1.0
49,0.7942,1.0,1.0,1.0
50,0.78,1.0,1.0,1.0
51,0.7304,1.0,1.0,1.0
52,0.7532,1.0,1.0,1.0
53,0.6887,1.0,1.0,1.0
54,0.3889,1.0,1.0,1.0
55,1.0,1.0,1.0,1.0
