feature,client_0_s11,client_0_s22,client_1_s11,client_1_s22,client_2_s11,client_2_s22,client_3_s11,client_3_s22,client_4_s11,client_4_s22,mean
income,0.325746,0.331441,0.292086,0.296637,0.276874,0.280217,0.264301,0.26015,0.270528,0.267535,0.286552
name_email_similarity,0.70001,0.695067,0.632816,0.630152,0.610961,0.614356,0.74824,0.742788,0.687967,0.694602,0.675696
prev_address_months_count,0.190161,0.187568,0.195294,0.188352,0.198015,0.199595,0.22371,0.223798,0.199346,0.196528,0.200237
current_address_months_count,0.773505,0.780311,0.776296,0.777249,0.676849,0.678922,0.739727,0.742227,0.734422,0.732518,0.741203
customer_age,0.888498,0.889507,1.0125,1.00892,0.886494,0.893862,0.896172,0.891179,0.950218,0.949948,0.92673
days_since_request,0.51358,0.50842,0.557516,0.553642,0.455315,0.453948,0.579815,0.576648,0.611017,0.600911,0.541081
intended_balcon_amount,0.985875,0.996464,0.959338,0.965607,1.02977,1.02756,0.831872,0.833826,0.972591,0.961079,0.956398
zip_count_4w,1.07816,1.08603,1.05744,1.0532,1.16878,1.17159,1.01538,1.01649,1.25052,1.24968,1.11473
velocity_6h,0.42575,0.423962,0.404419,0.416554,0.409858,0.412329,0.460095,0.463743,0.44149,0.452149,0.431035
velocity_24h,0.38805,0.389954,0.343487,0.352548,0.355415,0.359167,0.387911,0.383806,0.391803,0.388529,0.374067
velocity_4w,0.396351,0.391603,0.406309,0.392681,0.380047,0.384499,0.45104,0.449652,0.405925,0.403738,0.406184
bank_branch_count_8w,0.312032,0.307381,0.231306,0.221678,0.278028,0.283091,0.212219,0.218915,0.222898,0.224231,0.251178
date_of_birth_distinct_emails_4w,0.523229,0.528837,0.557584,0.556037,0.547668,0.551136,0.585558,0.579033,0.619134,0.619704,0.566792
credit_risk_score,0.788942,0.783632,0.861581,0.865919,0.766989,0.758285,0.835514,0.832402,0.884973,0.891663,0.82699
email_is_free,1.78769,1.78728,1.74768,1.74053,1.4961,1.49698,1.32343,1.32134,1.71381,1.71791,1.61327
phone_home_valid,2.1419,2.1482,1.94796,1.9521,2.00488,2.00387,1.79343,1.79745,1.60444,1.60122,1.89954
phone_mobile_valid,0.303676,0.293589,0.35249,0.345965,0.264145,0.253421,0.334791,0.330983,0.235155,0.240034,0.295425
bank_months_count,0.882729,0.883995,0.746532,0.747127,0.669258,0.67007,0.692652,0.687161,0.859268,0.860223,0.769902
has_other_cards,1.89844,1.89933,1.23726,1.23544,1.0392,1.04071,1.30528,1.29892,1.418,1.42035,1.37929
