k,between_mean,within_mean,within_min,within_max
1,1.0,1.0,1.0,1.0
2,0.6887,1.0,1.0,1.0
3,0.7179,1.0,1.0,1.0
4,0.8922,1.0,1.0,1.0
5,0.868,1.0,1.0,1.0
6,0.9252,1.0,1.0,1.0
7,0.8036,1.0,1.0,1.0
8,0.766,1.0,1.0,1.0
9,0.814,1.0,1.0,1.0
10,0.7922,1.0,1.0,1.0
11,0.7955,1.0,1.0,1.0
12,0.7655,1.0,1.0,1.0
13,0.8136,0.9597,0.8993,1.0
14,0.8275,0.9808,0.9042,1.0
15,0.8442,1.0,1.0,1.0
16,0.8413,0.9824,0.9119,1.0
17,0.8467,1.0,1.0,1.0
18,0.8761,1.0,1.0,1.0
19,0.9115,1.0,1.0,1.0
20,0.9371,1.0,1.0,1.0
21,0.9153,1.0,1.0,1.0
22,0.8939,1.0,1.0,1.0
23,0.8954,1.0,1.0,1.0
24,0.8965,1.0,1.0,1.0
25,0.8643,0.9707,0.9267,1.0
26,0.8541,0.9854,0.9271,1.0
27,0.8363,0.9854,0.9272,1.0
28,0.8472,1.0,1.0,1.0
29,0.8322,1.0,1.0,1.0
30,0.8387,0.9853,0.9267,1.0
31,0.8226,1.0,1.0,1.0
32,0.8207,0.9851,0.9253,1.0
33,0.8258,0.9848,0.9242,1.0
34,0.8113,0.9846,0.923,1.0
35,0.8193,0.9843,0.9214,1.0
36,0.8553,0.9839,0.9196,1.0
37,0.8885,0.9835,0.9174,1.0
38,0.8553,1.0,1.0,1.0
39,0.8766,1.0,1.0,1.0
40,0.89,1.0,1.0,1.0
41,0.8754,1.0,1.0,1.0
42,0.8892,1.0,1.0,1.0
43,0.8508,1.0,1.0,1.0
44,0.875,1.0,1.0,1.0
45,0.8656,1.0,1.0,1.0
46,0.7742,1.0,1.0,1.0
47,0.8391,1.0,1.0,1.0
48,0.8854,1.0,1.0,1.0
49,0.869,1.0,1.0,1.0
50,0.846,1.0,1.0,1.0
51,0.8113,1.0,1.0,1.0
52,0.7532,1.0,1.0,1.0
53,0.7925,1.0,1.0,1.0
54,0.5926,1.0,1.0,1.0
55,1.0,1.0,1.0,1.0
