feature,client_0_s11,client_0_s22,client_1_s11,client_1_s22,client_2_s11,client_2_s22,client_3_s11,client_3_s22,client_4_s11,client_4_s22,mean
income,0.185685,0.185093,0.187695,0.188629,0.185636,0.183885,0.172912,0.17274,0.184659,0.183905,0.183084
name_email_similarity,0.306615,0.306302,0.306377,0.305716,0.301241,0.301521,0.297841,0.297921,0.298679,0.298367,0.302058
prev_address_months_count,0.0614193,0.0620156,0.045263,0.0451687,0.0547292,0.054647,0.0463944,0.0463411,0.0865576,0.0862883,0.0588824
current_address_months_count,0.1673,0.167904,0.149227,0.14914,0.123679,0.124006,0.129924,0.13037,0.136995,0.136814,0.141536
customer_age,0.159479,0.15863,0.156373,0.15683,0.143561,0.143163,0.145223,0.145085,0.171298,0.172037,0.155168
days_since_request,0.0924189,0.0919099,0.0506763,0.0511275,0.0538175,0.0542643,0.0472912,0.0473278,0.0717482,0.0718621,0.0632444
intended_balcon_amount,0.048288,0.0485697,0.0726445,0.0727315,0.0648616,0.06475,0.0517791,0.0516011,0.042944,0.042965,0.0561135
zip_count_4w,0.165556,0.166197,0.171843,0.172726,0.155897,0.156236,0.154053,0.153949,0.168012,0.168169,0.163264
velocity_6h,0.0504949,0.0509008,0.0466493,0.0467915,0.0443247,0.0443907,0.0498958,0.0490877,0.0432925,0.0429261,0.0468754
velocity_24h,0.0402993,0.039591,0.0387511,0.03825,0.0411117,0.0409287,0.0470425,0.0465027,0.0468471,0.0467748,0.0426099
velocity_4w,0.169569,0.168904,0.176634,0.176606,0.193248,0.193499,0.175078,0.174919,0.18214,0.182539,0.179314
bank_branch_count_8w,0.0289836,0.029031,0.0346607,0.03477,0.0239437,0.0250535,0.0249671,0.0258922,0.0214571,0.0217121,0.0270471
date_of_birth_distinct_emails_4w,0.103221,0.103203,0.0923206,0.092436,0.107505,0.10724,0.103414,0.103416,0.110555,0.110892,0.10342
credit_risk_score,0.0946,0.0949124,0.0786744,0.0779292,0.091886,0.0916384,0.096234,0.0963592,0.105907,0.10594,0.0934081
email_is_free,0.290987,0.291087,0.283787,0.283781,0.30192,0.302265,0.303361,0.303007,0.29438,0.294378,0.294895
phone_home_valid,0.457693,0.458813,0.474524,0.474998,0.483697,0.484525,0.444174,0.444454,0.425044,0.42468,0.45726
phone_mobile_valid,0.0331302,0.0328064,0.0266274,0.0266175,0.0553466,0.0556779,0.0282168,0.0285501,0.0203876,0.0204118,0.0327772
bank_months_count,0.118291,0.117648,0.106902,0.107146,0.110112,0.109996,0.11587,0.11616,0.111415,0.111948,0.112549
has_other_cards,0.318229,0.318232,0.405131,0.404737,0.315936,0.316484,0.342133,0.342283,0.449583,0.450248,0.3663
proposed_credit_limit,0.118324,0.118186,0.125573,0.125238,0.117512,0.116969,0.104348,0.103801,0.127097,0.126673,0.118372
foreign_request,0.0233534,0.023252,0.0254101,0.0254709,0.0549121,0.0553646,0.0210858,0.0208675,0.0323167,0.0323206,0.0314354
session_length_in_minutes,0.123933,0.124134,0.133255,0.134233,0.136404,0.135917,0.123559,0.122884,0.114389,0.11498,0.126369
keep_alive_session,0.332255,0.332357,0.373451,0.372801,0.352926,0.353449,0.375318,0.375204,0.382646,0.382021,0.363243
device_distinct_emails_8w,0.0536642,0.0528699,0.0457547,0.0454855,0.0721262,0.0716982,0.051107,0.0509066,0.0420062,0.0420141,0.0527633
prev_address_months_count_missing,0.487683,0.488434,0.546819,0.547493,0.611515,0.610698,0.499918,0.500227,0.443484,0.443236,0.517951
bank_months_count_missing,0.146056,0.146624,0.120938,0.120789,0.173916,0.173398,0.134251,0.133927,0.147239,0.147298,0.144443
current_address_months_count_missing,0.00934894,0.00917809,0,0,0.00957094,0.00933994,0,0,0,0,0.00374379
session_length_in_minutes_missing,0,0,0,0,0,0,0,0,0,0,0
device_distinct_emails_8w_missing,0,0,0,0,0,0,0,0,0,0,0
payment_type_AA,0.152612,0.15202,0.141706,0.140959,0.121632,0.121167,0.147846,0.14858,0.166991,0.167628,0.146114
payment_type_AB,0.0285058,0.0291181,0.0473863,0.0478961,0.047005,0.0471959,0.0418958,0.0416862,0.0361765,0.0364861,0.0403352
payment_type_AC,0.0746814,0.0743227,0.0528802,0.0530251,0.0790164,0.0787099,0.0583905,0.0581581,0.0609367,0.0605592,0.065068
payment_type_AD,0.00610327,0.00635599,0.00619631,0.00594707,0.00817976,0.00836193,0.018458,0.0189151,0.0172769,0.0168109,0.0112605
payment_type_AE,0,0,0,0,0,0,0,0,0,0,0
employment_status_CA,0.214764,0.215182,0.269552,0.26985,0.2417,0.241861,0.209043,0.209874,0.245339,0.245886,0.236305
employment_status_CB,0.0176465,0.0173572,0.0340542,0.0346276,0.0343792,0.0340311,0.0179625,0.018476,0.031397,0.0313867,0.0271318
employment_status_CC,0.0763146,0.0761429,0.0732069,0.0735085,0.0404325,0.0399239,0.0320322,0.0320359,0.0309164,0.031018,0.0505532
employment_status_CD,0.00196331,0.00180784,0.00358046,0.00361923,0.00205439,0.00208958,0.00166564,0.0017664,0.00215328,0.00209598,0.00227961
employment_status_CE,0.0148851,0.0147409,0.0128194,0.0128542,0.00490371,0.00488227,0.0143995,0.0141531,0.0140003,0.0139309,0.0121569
employment_status_CF,0.0179061,0.0177172,0.00796398,0.00794421,0.014829,0.0150634,0.0195987,0.0192736,0.0102141,0.0102332,0.0140744
employment_status_CG,0,0,0,0,0,0,0,0,0,0,0
housing_status_BA,0.143385,0.143561,0.145756,0.145355,0.140682,0.140999,0.185337,0.185707,0.137255,0.137242,0.150528
housing_status_BB,0.128194,0.128383,0.123261,0.123162,0.0977152,0.0980705,0.0950184,0.0953699,0.126306,0.126192,0.114167
housing_status_BC,0.136916,0.137124,0.0669517,0.066038,0.0826962,0.082846,0.130472,0.129735,0.138475,0.137845,0.11091
housing_status_BD,0.00284708,0.00285194,0.0210798,0.0214177,0.0121934,0.0121237,0.00381701,0.00370665,0.00227016,0.00230139,0.00846087
housing_status_BE,0.140536,0.140413,0.115221,0.115776,0.147728,0.147274,0.185792,0.186215,0.141967,0.141959,0.146288
housing_status_BF,0,0,0,0,0.0072221,0.00751051,0,0,0,0,0.00147326
housing_status_BG,0,0,0,0,0.0844321,0.084185,0,0,0,0,0.0168617
source_INTERNET,0.0359228,0.0358805,0.0100949,0.0100941,0.0103439,0.0102676,0.0352695,0.0349779,0.0349342,0.0354827,0.0253268
source_TELEAPP,0.0342545,0.0354749,0.00999868,0.00982972,0.00988027,0.00996638,0.0346139,0.0342617,0.0344039,0.0344208,0.0247105
device_os_linux,0.268681,0.268705,0.360404,0.360341,0.298129,0.297767,0.261016,0.261535,0.300512,0.299835,0.297693
device_os_macintosh,0.00969091,0.00978036,0.0120511,0.0118452,0.0118611,0.0117052,0.0112918,0.0110781,0.00570176,0.00580351,0.0100809
device_os_other,0.239375,0.23885,0.160959,0.160322,0.215765,0.214974,0.23265,0.232462,0.231683,0.232053,0.215909
