k,between_mean,within_mean,within_min,within_max
1,0.5926,1.0,1.0,1.0
2,0.7925,1.0,1.0,1.0
3,0.7885,1.0,1.0,1.0
4,1.0,1.0,1.0,1.0
5,0.824,1.0,1.0,1.0
6,0.8878,1.0,1.0,1.0
7,1.0,1.0,1.0,1.0
8,0.9122,1.0,1.0,1.0
9,0.9469,1.0,1.0,1.0
10,0.8778,1.0,1.0,1.0
11,0.8636,1.0,1.0,1.0
12,0.8508,1.0,1.0,1.0
13,0.8288,1.0,1.0,1.0
14,0.8563,1.0,1.0,1.0
15,0.8167,1.0,1.0,1.0
16,0.8502,1.0,1.0,1.0
17,0.8808,1.0,1.0,1.0
18,0.8596,1.0,1.0,1.0
19,0.8713,0.9839,0.9196,1.0
20,0.89,1.0,1.0,1.0
21,0.8922,1.0,1.0,1.0
22,0.8939,1.0,1.0,1.0
23,0.9178,1.0,1.0,1.0
24,0.9409,1.0,1.0,1.0
25,0.9413,1.0,1.0,1.0
26,0.9489,1.0,1.0,1.0
27,0.8981,1.0,1.0,1.0
28,0.8836,1.0,1.0,1.0
29,0.8833,1.0,1.0,1.0
30,0.846,1.0,1.0,1.0
31,0.8226,0.9852,0.9261,1.0
32,0.8057,1.0,1.0,1.0
33,0.8485,1.0,1.0,1.0
34,0.869,1.0,1.0,1.0
35,0.8586,1.0,1.0,1.0
36,0.8311,1.0,1.0,1.0
37,0.8101,1.0,1.0,1.0
38,0.817,0.983,0.9149,1.0
39,0.8325,1.0,1.0,1.0
40,0.8625,1.0,1.0,1.0
41,0.8275,1.0,1.0,1.0
42,0.7683,1.0,1.0,1.0
43,0.7655,1.0,1.0,1.0
44,0.8068,1.0,1.0,1.0
45,0.8533,1.0,1.0,1.0
46,0.7874,1.0,1.0,1.0
47,0.7806,1.0,1.0,1.0
48,0.7708,1.0,1.0,1.0
49,0.8503,1.0,1.0,1.0
50,0.824,1.0,1.0,1.0
51,0.7843,1.0,1.0,1.0
52,0.7179,1.0,1.0,1.0
53,0.7925,1.0,1.0,1.0
54,1.0,1.0,1.0,1.0
55,1.0,1.0,1.0,1.0
