k,between_mean,within_mean,within_min,within_max
1,0.1852,1.0,1.0,1.0
2,0.4811,1.0,1.0,1.0
3,0.5417,1.0,1.0,1.0
4,0.6495,1.0,1.0,1.0
5,0.824,1.0,1.0,1.0
6,1.0,1.0,1.0,1.0
7,1.0,1.0,1.0,1.0
8,0.9415,1.0,1.0,1.0
9,0.907,1.0,1.0,1.0
10,1.0,1.0,1.0,1.0
11,0.9318,1.0,1.0,1.0
12,0.9574,1.0,1.0,1.0
13,1.0,1.0,1.0,1.0
14,0.9617,1.0,1.0,1.0
15,0.945,1.0,1.0,1.0
16,0.9647,1.0,1.0,1.0
17,0.9319,1.0,1.0,1.0
18,0.9257,1.0,1.0,1.0
19,0.9035,1.0,1.0,1.0
20,0.9371,1.0,1.0,1.0
21,0.9153,1.0,1.0,1.0
22,0.9697,1.0,1.0,1.0
23,0.9552,1.0,1.0,1.0
24,0.9409,1.0,1.0,1.0
25,0.956,1.0,1.0,1.0
26,0.9708,1.0,1.0,1.0
27,0.9709,1.0,1.0,1.0
28,0.9709,1.0,1.0,1.0
29,0.9416,1.0,1.0,1.0
30,0.9193,1.0,1.0,1.0
31,0.9187,1.0,1.0,1.0
32,0.9327,1.0,1.0,1.0
33,0.9697,1.0,1.0,1.0
34,0.9692,1.0,1.0,1.0
35,0.9686,1.0,1.0,1.0
36,0.9678,1.0,1.0,1.0
37,1.0,1.0,1.0,1.0
38,0.9489,1.0,1.0,1.0
39,0.9383,1.0,1.0,1.0
40,0.945,1.0,1.0,1.0
41,0.9617,1.0,1.0,1.0
42,1.0,1.0,1.0,1.0
43,0.9041,1.0,1.0,1.0
44,0.8409,1.0,1.0,1.0
45,0.9022,1.0,1.0,1.0
46,0.9203,1.0,1.0,1.0
47,1.0,1.0,1.0,1.0
48,1.0,1.0,1.0,1.0
49,1.0,1.0,1.0,1.0
50,1.0,1.0,1.0,1.0
51,1.0,1.0,1.0,1.0
52,1.0,1.0,1.0,1.0
53,1.0,1.0,1.0,1.0
54,1.0,1.0,1.0,1.0
55,1.0,1.0,1.0,1.0
