k,between_mean,within_mean,within_min,within_max
1,0.5926,1.0,1.0,1.0
2,0.6887,1.0,1.0,1.0
3,0.7532,1.0,1.0,1.0
4,1.0,1.0,1.0,1.0
5,0.868,1.0,1.0,1.0
6,1.0,1.0,1.0,1.0
7,1.0,1.0,1.0,1.0
8,1.0,1.0,1.0,1.0
9,1.0,1.0,1.0,1.0
10,0.9511,1.0,1.0,1.0
11,1.0,1.0,1.0,1.0
12,1.0,1.0,1.0,1.0
13,0.9597,1.0,1.0,1.0
14,1.0,1.0,1.0,1.0
15,0.9267,1.0,1.0,1.0
16,0.9295,1.0,1.0,1.0
17,0.9404,1.0,1.0,1.0
18,1.0,1.0,1.0,1.0
19,0.9437,1.0,1.0,1.0
20,0.9529,1.0,1.0,1.0
21,0.9538,1.0,1.0,1.0
22,0.947,1.0,1.0,1.0
23,0.9477,1.0,1.0,1.0
24,0.9409,1.0,1.0,1.0
25,0.956,1.0,1.0,1.0
26,0.9271,1.0,1.0,1.0
27,0.9418,1.0,1.0,1.0
28,0.9709,1.0,1.0,1.0
29,0.9562,1.0,1.0,1.0
30,0.9267,1.0,1.0,1.0
31,0.9261,1.0,1.0,1.0
32,0.9701,1.0,1.0,1.0
33,0.9545,1.0,1.0,1.0
34,0.9384,1.0,1.0,1.0
35,0.9686,1.0,1.0,1.0
36,0.9678,1.0,1.0,1.0
37,0.9257,1.0,1.0,1.0
38,0.9063,1.0,1.0,1.0
39,0.859,1.0,1.0,1.0
40,0.89,1.0,1.0,1.0
41,0.9329,1.0,1.0,1.0
42,0.9396,1.0,1.0,1.0
43,0.936,1.0,1.0,1.0
44,0.9545,1.0,1.0,1.0
45,0.9267,1.0,1.0,1.0
46,1.0,1.0,1.0,1.0
47,1.0,1.0,1.0,1.0
48,1.0,1.0,1.0,1.0
49,1.0,1.0,1.0,1.0
50,1.0,1.0,1.0,1.0
51,1.0,1.0,1.0,1.0
52,1.0,1.0,1.0,1.0
53,1.0,1.0,1.0,1.0
54,1.0,1.0,1.0,1.0
55,1.0,1.0,1.0,1.0
