k,between_mean,within_mean,within_min,within_max
1,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0
3,0.859,1.0,1.0,1.0
4,0.8382,1.0,1.0,1.0
5,0.868,1.0,1.0,1.0
6,0.869,1.0,1.0,1.0
7,0.869,1.0,1.0,1.0
8,1.0,1.0,1.0,1.0
9,1.0,1.0,1.0,1.0
10,0.9511,1.0,1.0,1.0
11,0.9205,1.0,1.0,1.0
12,0.8828,1.0,1.0,1.0
13,0.859,1.0,1.0,1.0
14,0.8563,1.0,1.0,1.0
15,0.8808,1.0,1.0,1.0
16,0.9207,1.0,1.0,1.0
17,0.9319,1.0,1.0,1.0
18,0.967,1.0,1.0,1.0
19,1.0,1.0,1.0,1.0
20,0.9686,1.0,1.0,1.0
21,1.0,1.0,1.0,1.0
22,0.9545,1.0,1.0,1.0
23,0.9701,1.0,1.0,1.0
24,0.9556,1.0,1.0,1.0
25,1.0,1.0,1.0,1.0
26,1.0,1.0,1.0,1.0
27,0.9345,1.0,1.0,1.0
28,0.8981,1.0,1.0,1.0
29,0.8906,1.0,1.0,1.0
30,0.868,1.0,1.0,1.0
31,0.8522,1.0,1.0,1.0
32,0.8804,1.0,1.0,1.0
33,0.8712,1.0,1.0,1.0
34,0.9076,1.0,1.0,1.0
35,0.945,1.0,1.0,1.0
36,0.9518,1.0,1.0,1.0
37,1.0,1.0,1.0,1.0
38,1.0,1.0,1.0,1.0
39,1.0,1.0,1.0,1.0
40,1.0,1.0,1.0,1.0
41,1.0,1.0,1.0,1.0
42,0.9194,1.0,1.0,1.0
43,0.8721,1.0,1.0,1.0
44,0.8636,1.0,1.0,1.0
45,0.8289,1.0,1.0,1.0
46,0.8406,1.0,1.0,1.0
47,0.8391,1.0,1.0,1.0
48,0.7545,1.0,1.0,1.0
49,0.7194,1.0,1.0,1.0
50,0.67,1.0,1.0,1.0
51,0.5956,1.0,1.0,1.0
52,0.6122,1.0,1.0,1.0
53,0.4811,1.0,1.0,1.0
54,0.287,1.0,1.0,1.0
55,1.0,1.0,1.0,1.0
