k,between_mean,within_mean,within_min,within_max
1,0.287,1.0,1.0,1.0
2,0.7925,1.0,1.0,1.0
3,0.859,1.0,1.0,1.0
4,0.8922,1.0,1.0,1.0
5,1.0,1.0,1.0,1.0
6,1.0,1.0,1.0,1.0
7,0.9345,1.0,1.0,1.0
8,1.0,1.0,1.0,1.0
9,0.9203,1.0,1.0,1.0
10,1.0,1.0,1.0,1.0
11,0.9318,1.0,1.0,1.0
12,0.9574,1.0,1.0,1.0
13,0.8791,1.0,1.0,1.0
14,0.9042,1.0,1.0,1.0
15,0.89,1.0,1.0,1.0
16,0.903,1.0,1.0,1.0
17,0.9319,1.0,1.0,1.0
18,1.0,1.0,1.0,1.0
19,0.9518,1.0,1.0,1.0
20,0.945,1.0,1.0,1.0
21,0.9153,1.0,1.0,1.0
22,0.9091,1.0,1.0,1.0
23,0.9103,1.0,1.0,1.0
24,0.8817,1.0,1.0,1.0
25,0.912,1.0,1.0,1.0
26,0.9052,1.0,1.0,1.0
27,0.9054,1.0,1.0,1.0
28,0.9127,1.0,1.0,1.0
29,0.9125,1.0,1.0,1.0
30,0.956,1.0,1.0,1.0
31,0.9704,1.0,1.0,1.0
32,1.0,1.0,1.0,1.0
33,0.9697,1.0,1.0,1.0
34,0.9307,1.0,1.0,1.0
35,0.9293,1.0,1.0,1.0
36,0.9196,1.0,1.0,1.0
37,0.967,1.0,1.0,1.0
38,0.9319,1.0,1.0,1.0
39,0.8942,1.0,1.0,1.0
40,0.8808,1.0,1.0,1.0
41,0.8754,1.0,1.0,1.0
42,0.7985,1.0,1.0,1.0
43,0.7762,1.0,1.0,1.0
44,0.8182,1.0,1.0,1.0
45,0.8656,1.0,1.0,1.0
46,0.8937,1.0,1.0,1.0
47,0.8684,1.0,1.0,1.0
48,0.869,1.0,1.0,1.0
49,0.9252,1.0,1.0,1.0
50,0.912,1.0,1.0,1.0
51,0.8922,1.0,1.0,1.0
52,0.859,1.0,1.0,1.0
53,0.7925,1.0,1.0,1.0
54,0.5926,1.0,1.0,1.0
55,1.0,1.0,1.0,1.0
