k,between_mean,within_mean,within_min,within_max
1,1.0,1.0,1.0,1.0
2,0.7925,1.0,1.0,1.0
3,1.0,1.0,1.0,1.0
4,1.0,1.0,1.0,1.0
5,1.0,1.0,1.0,1.0
6,0.9252,1.0,1.0,1.0
7,0.9345,1.0,1.0,1.0
8,0.9122,1.0,1.0,1.0
9,1.0,1.0,1.0,1.0
10,1.0,1.0,1.0,1.0
11,1.0,1.0,1.0,1.0
12,1.0,1.0,1.0,1.0
13,1.0,1.0,1.0,1.0
14,0.9617,1.0,1.0,1.0
15,0.9358,1.0,1.0,1.0
16,0.9295,1.0,1.0,1.0
17,0.9659,1.0,1.0,1.0
18,1.0,1.0,1.0,1.0
19,0.9678,1.0,1.0,1.0
20,0.9686,1.0,1.0,1.0
21,1.0,1.0,1.0,1.0
22,0.9697,1.0,1.0,1.0
23,0.9327,1.0,1.0,1.0
24,0.8891,1.0,1.0,1.0
25,0.89,1.0,1.0,1.0
26,0.8833,1.0,1.0,1.0
27,0.9054,1.0,1.0,1.0
28,0.9345,1.0,1.0,1.0
29,0.9198,1.0,1.0,1.0
30,0.9193,1.0,1.0,1.0
31,0.8965,1.0,1.0,1.0
32,0.8804,1.0,1.0,1.0
33,0.8636,1.0,1.0,1.0
34,0.8922,1.0,1.0,1.0
35,0.8743,1.0,1.0,1.0
36,0.8231,1.0,1.0,1.0
37,0.8266,1.0,1.0,1.0
38,0.8297,1.0,1.0,1.0
39,0.8766,1.0,1.0,1.0
40,0.8808,1.0,1.0,1.0
41,0.9617,1.0,1.0,1.0
42,0.9597,1.0,1.0,1.0
43,0.9574,1.0,1.0,1.0
44,0.9545,1.0,1.0,1.0
45,0.9144,1.0,1.0,1.0
46,0.8007,1.0,1.0,1.0
47,0.7952,1.0,1.0,1.0
48,0.7708,1.0,1.0,1.0
49,0.7942,1.0,1.0,1.0
50,0.846,1.0,1.0,1.0
51,1.0,1.0,1.0,1.0
52,1.0,1.0,1.0,1.0
53,1.0,1.0,1.0,1.0
54,1.0,1.0,1.0,1.0
55,1.0,1.0,1.0,1.0
