k,between_mean,within_mean,within_min,within_max
1,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0
3,0.7179,1.0,1.0,1.0
4,0.7304,1.0,1.0,1.0
5,0.868,1.0,1.0,1.0
6,0.869,1.0,1.0,1.0
7,1.0,1.0,1.0,1.0
8,0.9122,1.0,1.0,1.0
9,0.9469,1.0,1.0,1.0
10,0.9267,1.0,1.0,1.0
11,1.0,1.0,1.0,1.0
12,0.9254,1.0,1.0,1.0
13,0.9597,1.0,1.0,1.0
14,0.9233,1.0,1.0,1.0
15,0.9083,1.0,1.0,1.0
16,0.9647,1.0,1.0,1.0
17,1.0,1.0,1.0,1.0
18,1.0,1.0,1.0,1.0
19,0.9678,1.0,1.0,1.0
20,0.9686,1.0,1.0,1.0
21,0.9461,1.0,1.0,1.0
22,0.9394,1.0,1.0,1.0
23,0.9029,1.0,1.0,1.0
24,0.9187,1.0,1.0,1.0
25,0.9487,1.0,1.0,1.0
26,0.9562,1.0,1.0,1.0
27,0.9709,1.0,1.0,1.0
28,1.0,1.0,1.0,1.0
29,1.0,1.0,1.0,1.0
30,1.0,1.0,1.0,1.0
31,0.9556,1.0,1.0,1.0
32,0.9402,1.0,1.0,1.0
33,0.947,1.0,1.0,1.0
34,0.923,1.0,1.0,1.0
35,0.9136,1.0,1.0,1.0
36,0.9196,1.0,1.0,1.0
37,0.8926,1.0,1.0,1.0
38,0.8808,1.0,1.0,1.0
39,0.9207,1.0,1.0,1.0
40,1.0,1.0,1.0,1.0
41,1.0,1.0,1.0,1.0
42,0.9396,1.0,1.0,1.0
43,0.9574,1.0,1.0,1.0
44,0.9205,1.0,1.0,1.0
45,0.9144,1.0,1.0,1.0
46,0.8671,1.0,1.0,1.0
47,0.8098,1.0,1.0,1.0
48,0.7545,1.0,1.0,1.0
49,0.7194,1.0,1.0,1.0
50,0.67,1.0,1.0,1.0
51,0.5956,1.0,1.0,1.0
52,0.4712,1.0,1.0,1.0
53,0.3255,1.0,1.0,1.0
54,0.287,1.0,1.0,1.0
55,1.0,1.0,1.0,1.0
