k,between_mean,within_mean,within_min,within_max
1,1.0,1.0,1.0,1.0
2,0.7925,1.0,1.0,1.0
3,0.7885,1.0,1.0,1.0
4,1.0,1.0,1.0,1.0
5,1.0,1.0,1.0,1.0
6,0.9252,1.0,1.0,1.0
7,0.9018,1.0,1.0,1.0
8,0.8537,1.0,1.0,1.0
9,0.9469,1.0,1.0,1.0
10,0.8411,1.0,1.0,1.0
11,0.8295,1.0,1.0,1.0
12,0.8508,1.0,1.0,1.0
13,0.8791,1.0,1.0,1.0
14,0.9425,1.0,1.0,1.0
15,1.0,1.0,1.0,1.0
16,0.9471,1.0,1.0,1.0
17,0.9149,1.0,1.0,1.0
18,0.967,1.0,1.0,1.0
19,0.9357,1.0,1.0,1.0
20,0.9686,1.0,1.0,1.0
21,0.9692,1.0,1.0,1.0
22,0.9318,1.0,1.0,1.0
23,0.9327,1.0,1.0,1.0
24,0.9039,1.0,1.0,1.0
25,0.89,1.0,1.0,1.0
26,0.9198,1.0,1.0,1.0
27,0.9054,1.0,1.0,1.0
28,0.9127,1.0,1.0,1.0
29,0.8833,1.0,1.0,1.0
30,0.8607,1.0,1.0,1.0
31,0.8374,1.0,1.0,1.0
32,0.8281,1.0,1.0,1.0
33,0.8258,1.0,1.0,1.0
34,0.8074,1.0,1.0,1.0
35,0.7879,1.0,1.0,1.0
36,0.7749,1.0,1.0,1.0
37,0.7688,1.0,1.0,1.0
38,0.7872,1.0,1.0,1.0
39,0.8413,1.0,1.0,1.0
40,0.89,1.0,1.0,1.0
41,0.885,1.0,1.0,1.0
42,0.9194,1.0,1.0,1.0
43,0.9041,1.0,1.0,1.0
44,0.9091,1.0,1.0,1.0
45,0.9144,1.0,1.0,1.0
46,0.907,1.0,1.0,1.0
47,0.8976,1.0,1.0,1.0
48,0.8854,1.0,1.0,1.0
49,0.9252,1.0,1.0,1.0
50,0.912,1.0,1.0,1.0
51,0.8922,1.0,1.0,1.0
52,0.859,1.0,1.0,1.0
53,0.7925,1.0,1.0,1.0
54,0.5926,1.0,1.0,1.0
55,1.0,1.0,1.0,1.0
