k,between_mean,within_mean,within_min,within_max
1,1.0,1.0,1.0,1.0
2,0.7925,1.0,1.0,1.0
3,1.0,1.0,1.0,1.0
4,0.8922,1.0,1.0,1.0
5,0.912,1.0,1.0,1.0
6,0.8878,1.0,1.0,1.0
7,0.8363,1.0,1.0,1.0
8,0.9415,1.0,1.0,1.0
9,0.9469,1.0,1.0,1.0
10,0.9144,1.0,1.0,1.0
11,0.9091,1.0,1.0,1.0
12,0.9574,1.0,1.0,1.0
13,0.9093,1.0,1.0,1.0
14,0.9042,1.0,1.0,1.0
15,0.8533,1.0,1.0,1.0
16,0.8413,1.0,1.0,1.0
17,0.8808,1.0,1.0,1.0
18,0.8679,1.0,1.0,1.0
19,0.8713,1.0,1.0,1.0
20,0.89,1.0,1.0,1.0
21,0.8922,1.0,1.0,1.0
22,0.8939,1.0,1.0,1.0
23,0.8954,1.0,1.0,1.0
24,0.8965,1.0,1.0,1.0
25,0.8827,1.0,1.0,1.0
26,0.8614,1.0,1.0,1.0
27,0.8545,1.0,1.0,1.0
28,0.8545,1.0,1.0,1.0
29,0.8322,1.0,1.0,1.0
30,0.8313,1.0,1.0,1.0
31,0.8522,1.0,1.0,1.0
32,0.8505,1.0,1.0,1.0
33,0.8485,1.0,1.0,1.0
34,0.8459,1.0,1.0,1.0
35,0.835,1.0,1.0,1.0
36,0.807,1.0,1.0,1.0
37,0.8183,1.0,1.0,1.0
38,0.8382,1.0,1.0,1.0
39,0.8237,1.0,1.0,1.0
40,0.8075,1.0,1.0,1.0
41,0.8275,1.0,1.0,1.0
42,0.8187,1.0,1.0,1.0
43,0.8081,1.0,1.0,1.0
44,0.7955,1.0,1.0,1.0
45,0.78,1.0,1.0,1.0
46,0.814,1.0,1.0,1.0
47,0.7952,1.0,1.0,1.0
48,0.7708,1.0,1.0,1.0
49,0.7942,1.0,1.0,1.0
50,0.912,1.0,1.0,1.0
51,0.8922,1.0,1.0,1.0
52,0.859,1.0,1.0,1.0
53,1.0,1.0,1.0,1.0
54,1.0,1.0,1.0,1.0
55,1.0,1.0,1.0,1.0
