feature,client_0_s11,client_0_s22,mean
Time,0.00831394,0.00892469,0.00861931
V1,0.0109423,0.0118032,0.0113727
V2,0.010823,0.0112877,0.0110554
V3,0.0411837,0.0401331,0.0406584
V4,0.550952,0.552464,0.551708
V5,0.0264288,0.0265097,0.0264693
V6,0.0089106,0.00900588,0.00895824
V7,0.0555386,0.055741,0.0556398
V8,0.00772126,0.00852179,0.00812153
V9,0.0122167,0.0121215,0.0121691
V10,0.0992279,0.100617,0.0999225
V11,0.0939129,0.0933403,0.0936266
V12,0.156273,0.156525,0.156399
V13,0.0266979,0.027018,0.0268579
V14,1.01296,1.01279,1.01287
V15,0.0741656,0.0735134,0.0738395
V16,0.0274577,0.0266133,0.0270355
V17,0.0734007,0.0731077,0.0732542
V18,0.00895614,0.00880415,0.00888015
V19,0.00907918,0.0085492,0.00881419
V20,0.0495958,0.0495411,0.0495684
V21,0.0719855,0.0724395,0.0722125
V22,0.0209069,0.0210746,0.0209907
V23,0.00847414,0.0083773,0.00842572
V24,0.00904566,0.00871731,0.00888148
V25,0.00858163,0.00956784,0.00907474
V26,0.00964623,0.0104398,0.010043
V27,0.0247992,0.026297,0.0255481
V28,0.00853866,0.00857319,0.00855592
Amount,0.00927998,0.0100863,0.00968313
