feature,client_0_s11,client_0_s22,mean
Time,0.389376,0.387642,0.388509
V1,0.382698,0.384538,0.383618
V2,0.484903,0.479752,0.482327
V3,0.315934,0.309371,0.312653
V4,1.58952,1.58699,1.58825
V5,0.957072,0.958547,0.95781
V6,0.100714,0.0978694,0.0992918
V7,0.263465,0.26324,0.263352
V8,0.719399,0.720874,0.720137
V9,0.123086,0.127594,0.12534
V10,0.162493,0.159636,0.161064
V11,0.203688,0.202703,0.203196
V12,0.187464,0.184868,0.186166
V13,0.167741,0.168014,0.167878
V14,0.575142,0.573825,0.574483
V15,0.335436,0.342623,0.33903
V16,0.324968,0.324501,0.324735
V17,0.514192,0.515287,0.51474
V18,0.401723,0.408332,0.405028
V19,0.142157,0.14177,0.141964
V20,0.257029,0.264441,0.260735
V21,0.171682,0.173403,0.172543
V22,0.250022,0.253907,0.251965
V23,0.274337,0.279465,0.276901
V24,0.0933808,0.0960656,0.0947232
V25,0.290714,0.293845,0.29228
V26,0.159361,0.15879,0.159076
V27,0.0711107,0.0701076,0.0706092
V28,0.2846,0.279323,0.281961
Amount,0.0744669,0.0747915,0.0746292
