feature,client_0_s11,client_0_s22,client_1_s11,client_1_s22,client_2_s11,client_2_s22,client_3_s11,client_3_s22,client_4_s11,client_4_s22,mean
Time,0.0460241,0.0472629,0.0504207,0.0511546,0.0408676,0.0425621,0.0436179,0.0451291,0.0490338,0.0502314,0.0466304
V1,0.0135799,0.0135238,0.0140513,0.0129903,0.0137805,0.0130334,0.0225022,0.0222936,0.0155681,0.0140515,0.0155374
V2,0.0231573,0.023463,0.0251443,0.0251779,0.0233318,0.0240866,0.028406,0.028987,0.0270121,0.0279964,0.0256762
V3,0.0990874,0.0998661,0.132163,0.131699,0.108147,0.109701,0.123626,0.124399,0.106599,0.10784,0.114313
V4,0.307962,0.309583,0.347742,0.349044,0.298326,0.300407,0.389971,0.390601,0.304822,0.307165,0.330562
V5,0.0119774,0.0125764,0.0134224,0.0140522,0.0131881,0.0142925,0.0152076,0.0152518,0.0130121,0.0135343,0.0136515
V6,0.0478776,0.0489307,0.0520364,0.0526036,0.0430352,0.0435207,0.0724283,0.0732191,0.0524444,0.0532793,0.0539375
V7,0.0415239,0.0413089,0.0329335,0.0335465,0.0311078,0.0319231,0.0526334,0.0532099,0.0344997,0.0353083,0.0387995
V8,0.0276597,0.0285586,0.0360652,0.0366477,0.0386527,0.0391093,0.0365497,0.0382505,0.032532,0.0340142,0.034804
V9,0.00993415,0.0104548,0.00995351,0.0105304,0.0101447,0.00990704,0.0113026,0.0118828,0.0105551,0.010833,0.0105498
V10,0.104371,0.103499,0.120519,0.119558,0.126355,0.125651,0.133762,0.131942,0.109038,0.107608,0.11823
V11,0.0484611,0.0485683,0.0711512,0.0711083,0.052415,0.0525721,0.0649266,0.0653042,0.0517988,0.0522492,0.0578555
V12,0.180967,0.179657,0.211317,0.209257,0.194569,0.192944,0.198358,0.197485,0.203483,0.20104,0.196908
V13,0.0601438,0.0610543,0.0621062,0.0637427,0.0625213,0.0632033,0.0766696,0.0774665,0.0644011,0.0658395,0.0657148
V14,0.219083,0.218479,0.21519,0.215169,0.190867,0.190176,0.234082,0.23439,0.199487,0.198671,0.211559
V15,0.0357116,0.034724,0.0381326,0.0379915,0.0399596,0.039102,0.0364006,0.0366991,0.0427377,0.0423484,0.0383807
V16,0.0772483,0.076571,0.0810726,0.0795966,0.0751653,0.0744602,0.0886406,0.087221,0.0830829,0.0815133,0.0804572
V17,0.181442,0.181306,0.178408,0.17832,0.169505,0.16989,0.179494,0.178775,0.175496,0.174754,0.176739
V18,0.0114417,0.0118572,0.0129186,0.0128142,0.0113969,0.0116502,0.0145618,0.0145,0.014336,0.0139149,0.0129391
V19,0.0303372,0.0306596,0.0338722,0.033751,0.0322597,0.0317863,0.0391457,0.0383508,0.0321697,0.0318785,0.0334211
V20,0.0340663,0.0331711,0.0329864,0.0328612,0.0297617,0.0293648,0.0353638,0.0345672,0.0255039,0.0255275,0.0313174
V21,0.0588279,0.0587882,0.0533802,0.0535557,0.0602562,0.0604836,0.107401,0.108237,0.0613467,0.0626978,0.0684975
V22,0.0265886,0.0260358,0.0302697,0.0305819,0.0296628,0.0301649,0.0353218,0.0339684,0.032531,0.0327342,0.0307859
V23,0.0266351,0.0261795,0.0309332,0.0297865,0.0305423,0.0301765,0.0234026,0.023479,0.0225522,0.0217385,0.0265425
V24,0.0264747,0.0260833,0.0259569,0.0262115,0.0252015,0.0244176,0.0449533,0.0443282,0.0283135,0.0278744,0.0299815
V25,0.00861748,0.00948873,0.00902852,0.0101934,0.00833796,0.00932086,0.012747,0.0127487,0.00940728,0.0105342,0.0100424
V26,0.010638,0.00995213,0.0118521,0.0107607,0.0115525,0.0107799,0.0117345,0.0104909,0.0106034,0.00993305,0.0108297
V27,0.0122798,0.0127305,0.0138951,0.0133623,0.0125192,0.0124233,0.0142817,0.0143802,0.0127222,0.0129904,0.0131585
V28,0.0334395,0.0344607,0.0399337,0.0404233,0.0324518,0.0335425,0.0377954,0.0394507,0.032494,0.0340199,0.0358012
Amount,0.0250767,0.0240342,0.0280723,0.0267917,0.027096,0.0260206,0.0354355,0.0336393,0.0243867,0.0232914,0.0273844
