k,between_mean,within_mean,within_min,within_max
1,1.0,1.0,1.0,1.0
2,0.6786,1.0,1.0,1.0
3,0.8519,1.0,1.0,1.0
4,1.0,1.0,1.0,1.0
5,0.88,0.952,0.76,1.0
6,1.0,1.0,1.0,1.0
7,0.9255,1.0,1.0,1.0
8,0.8807,1.0,1.0,1.0
9,0.9365,1.0,1.0,1.0
10,0.91,0.97,0.85,1.0
11,1.0,1.0,1.0,1.0
12,0.9444,1.0,1.0,1.0
13,0.8575,0.9457,0.8643,1.0
14,0.8527,1.0,1.0,1.0
15,0.82,0.92,0.8667,1.0
16,0.779,0.9464,0.8661,1.0
17,0.8167,0.9729,0.8643,1.0
18,0.875,1.0,1.0,1.0
19,0.8134,0.8852,0.8565,1.0
20,0.805,0.94,0.85,1.0
21,0.8254,1.0,1.0,1.0
22,0.8977,1.0,1.0,1.0
23,1.0,1.0,1.0,1.0
24,0.9375,0.9167,0.7917,1.0
25,0.784,0.952,0.76,1.0
26,0.8269,1.0,1.0,1.0
27,0.9259,0.9259,0.6296,1.0
28,0.6786,0.7857,0.4643,1.0
29,0.4828,0.5862,-0.0345,1.0
30,1.0,1.0,1.0,1.0
