feature,client_0_s11,client_0_s22,client_1_s11,client_1_s22,client_2_s11,client_2_s22,client_3_s11,client_3_s22,client_4_s11,client_4_s22,mean
Time,0.392097,0.387098,0.298614,0.291303,0.32122,0.319232,0.26944,0.263896,0.357621,0.357554,0.325808
V1,0.25093,0.255058,0.286456,0.291791,0.242737,0.246512,0.23364,0.233875,0.246595,0.243199,0.253079
V2,0.250238,0.249474,0.230199,0.229145,0.280647,0.282102,0.261006,0.261257,0.267114,0.267872,0.257906
V3,0.380224,0.377865,0.321397,0.320999,0.298106,0.301034,0.302302,0.301861,0.386709,0.383318,0.337381
V4,1.13429,1.13837,1.06763,1.06984,1.00392,1.00598,0.894883,0.894319,1.19799,1.19499,1.06022
V5,0.488061,0.490296,0.405722,0.406872,0.424453,0.425523,0.493349,0.498277,0.36306,0.363511,0.435912
V6,0.177819,0.177416,0.0989397,0.103032,0.118288,0.125312,0.14905,0.152237,0.137077,0.141122,0.138029
V7,0.117668,0.116185,0.143451,0.138568,0.122285,0.120154,0.137309,0.133171,0.115283,0.113018,0.125709
V8,0.412258,0.411303,0.310569,0.310888,0.392711,0.391375,0.34813,0.349054,0.291411,0.285855,0.350355
V9,0.0507105,0.0506142,0.0521104,0.0495334,0.0488449,0.0467755,0.0511113,0.0497273,0.0612842,0.0577995,0.0518511
V10,0.129903,0.134167,0.173905,0.179201,0.108991,0.113981,0.100691,0.106793,0.188509,0.197861,0.1434
V11,0.552,0.557565,0.407349,0.412662,0.435302,0.437781,0.444462,0.445484,0.619928,0.619975,0.493251
V12,0.159691,0.156845,0.18306,0.181664,0.138422,0.138202,0.157161,0.153962,0.243658,0.242332,0.1755
V13,0.325321,0.32751,0.268195,0.273115,0.223294,0.227291,0.31873,0.321324,0.308934,0.30893,0.290264
V14,0.710511,0.721518,0.624471,0.628051,0.64799,0.65482,0.765162,0.768455,0.625608,0.632179,0.677876
V15,0.33918,0.335374,0.26781,0.264241,0.362564,0.357054,0.387472,0.383797,0.334156,0.33229,0.336394
V16,0.393885,0.39691,0.350135,0.351469,0.345779,0.350321,0.387654,0.391091,0.329882,0.333983,0.363111
V17,0.286853,0.287987,0.228926,0.233161,0.238592,0.240159,0.28699,0.287599,0.287096,0.285336,0.26627
V18,0.415075,0.417908,0.313777,0.315317,0.582509,0.578575,0.403292,0.4015,0.775291,0.772862,0.497611
V19,0.233433,0.235311,0.183525,0.183748,0.211096,0.211466,0.194188,0.19614,0.216783,0.214685,0.208037
V20,0.242378,0.246081,0.252722,0.253361,0.232648,0.231673,0.213236,0.212599,0.232516,0.234463,0.235168
V21,0.258485,0.261599,0.23719,0.24266,0.27722,0.282359,0.242092,0.237651,0.286764,0.29165,0.261767
V22,0.108714,0.113623,0.0997686,0.0994366,0.109969,0.112614,0.12319,0.121421,0.134774,0.136201,0.115971
V23,0.0865009,0.0880079,0.103527,0.10246,0.0818634,0.085735,0.0920752,0.0928294,0.092063,0.0953454,0.0920408
V24,0.0950772,0.0940343,0.0931505,0.0933667,0.0868042,0.087115,0.0934807,0.094275,0.136301,0.134818,0.100842
V25,0.278336,0.281286,0.247701,0.248149,0.228905,0.232457,0.264085,0.270143,0.261001,0.256623,0.256869
V26,0.311568,0.311337,0.292034,0.29024,0.324795,0.325788,0.296668,0.296259,0.342486,0.339823,0.3131
V27,0.0484713,0.0513136,0.0465455,0.0486086,0.0465529,0.0483744,0.0478999,0.0512725,0.0589401,0.0586063,0.0506585
V28,0.149094,0.150149,0.120656,0.118891,0.141674,0.138425,0.140263,0.138181,0.115226,0.113949,0.132651
Amount,0.136906,0.132951,0.124397,0.123836,0.141979,0.142989,0.130779,0.128907,0.152384,0.152962,0.136809
