k,between_mean,within_mean,within_min,within_max
1,1.0,1.0,1.0,1.0
2,0.7857,1.0,1.0,1.0
3,0.7037,1.0,1.0,1.0
4,0.8269,1.0,1.0,1.0
5,0.808,1.0,1.0,1.0
6,0.7708,1.0,1.0,1.0
7,0.7391,1.0,1.0,1.0
8,0.7443,1.0,1.0,1.0
9,0.7143,0.9365,0.8413,1.0
10,0.79,0.97,0.85,1.0
11,0.8134,1.0,1.0,1.0
12,0.8125,0.9444,0.8611,1.0
13,0.8167,0.9457,0.8643,1.0
14,0.7589,1.0,1.0,1.0
15,0.76,1.0,1.0,1.0
16,0.8192,0.9732,0.8661,1.0
17,0.905,0.9729,0.8643,1.0
18,0.9444,1.0,1.0,1.0
19,0.9426,1.0,1.0,1.0
20,0.895,1.0,1.0,1.0
21,0.8095,1.0,1.0,1.0
22,0.7614,1.0,1.0,1.0
23,0.7391,0.9255,0.8137,1.0
24,0.75,0.9583,0.7917,1.0
25,0.676,0.904,0.76,1.0
26,0.7692,0.8846,0.7115,1.0
27,0.8519,1.0,1.0,1.0
28,1.0,1.0,1.0,1.0
29,0.7931,0.1724,-0.0345,1.0
30,1.0,1.0,1.0,1.0
