feature,client_0_s11,client_0_s22,client_1_s11,client_1_s22,client_2_s11,client_2_s22,client_3_s11,client_3_s22,client_4_s11,client_4_s22,mean
Time,0.00436254,0.00382773,0.0044733,0.00391253,0.00402781,0.00354199,0.0041327,0.00366073,0.00415818,0.00371127,0.00398088
V1,0.00472639,0.00420924,0.00519278,0.00478472,0.00436244,0.00390348,0.00467824,0.00414475,0.00436524,0.00401421,0.00443815
V2,0.0152622,0.0150837,0.0142221,0.0142474,0.0168685,0.0169283,0.0121296,0.0120387,0.0156826,0.0158033,0.0148266
V3,0.043719,0.0438875,0.0460691,0.0465708,0.0401413,0.0404476,0.0497722,0.0501494,0.0424915,0.0427177,0.0445966
V4,0.234157,0.23499,0.321544,0.322493,0.250154,0.250972,0.254733,0.255669,0.253791,0.25453,0.263303
V5,0.0596336,0.0601201,0.063181,0.0636108,0.0649956,0.0655512,0.0576201,0.0582386,0.0716013,0.0718628,0.0636415
V6,0.0173827,0.0171083,0.0172942,0.0170806,0.0192852,0.0193026,0.0201838,0.020162,0.018861,0.0185501,0.018521
V7,0.0168894,0.0177829,0.0162833,0.0169685,0.0174039,0.0183558,0.0149286,0.0156386,0.0159221,0.0165006,0.0166674
V8,0.00435759,0.00411694,0.00474422,0.00445105,0.0043934,0.00397026,0.00428352,0.00410469,0.00435819,0.00406618,0.00428461
V9,0.00361961,0.0040272,0.00383964,0.00441926,0.00408971,0.00472292,0.00395141,0.00448136,0.00371539,0.00451253,0.0041379
V10,0.0922297,0.0924267,0.0942322,0.0946721,0.092197,0.0925202,0.0875734,0.0881326,0.0839577,0.0843675,0.0902309
V11,0.0219708,0.0212423,0.0196639,0.019016,0.0233743,0.0229145,0.0202587,0.019522,0.0262945,0.0257395,0.0219997
V12,0.0804898,0.080074,0.0697403,0.0695151,0.0784274,0.078303,0.0798212,0.0795194,0.0688048,0.06861,0.0753305
V13,0.00489237,0.00499925,0.00516475,0.005491,0.00485036,0.00478321,0.00465579,0.00486516,0.00535214,0.0054102,0.00504642
V14,0.184978,0.184559,0.173733,0.17325,0.196373,0.196056,0.197504,0.197189,0.186378,0.185939,0.187596
V15,0.0100125,0.00936872,0.00910484,0.00859957,0.00886725,0.0088239,0.00928364,0.00882873,0.0102564,0.00982413,0.00929696
V16,0.0174087,0.0174412,0.0147722,0.014517,0.0162253,0.0161427,0.0149417,0.0147393,0.0184649,0.018178,0.0162831
V17,0.00766832,0.00801543,0.00613145,0.00663969,0.00667897,0.006899,0.00631815,0.00701274,0.00708712,0.00766568,0.00701165
V18,0.0038603,0.00380994,0.00418295,0.00409463,0.00371595,0.00366858,0.0038404,0.00387692,0.00363616,0.00360254,0.00382884
V19,0.00731886,0.0072903,0.00673879,0.00694829,0.00813691,0.008216,0.00678345,0.00685401,0.00730422,0.00736569,0.00729565
V20,0.00860963,0.00882128,0.00753414,0.00774832,0.00840172,0.00845139,0.00752368,0.00752002,0.00741515,0.00745056,0.00794759
V21,0.0396481,0.0404038,0.0520761,0.0523992,0.0493252,0.0497831,0.0456551,0.0462449,0.0546743,0.0549766,0.0485186
V22,0.00958469,0.00941764,0.00957885,0.00969349,0.00935321,0.0093422,0.0105578,0.0105591,0.0103551,0.0102597,0.00987017
V23,0.00379753,0.00408329,0.00440352,0.00483436,0.00396136,0.0041794,0.0038586,0.00418151,0.00382764,0.00427056,0.00413978
V24,0.00291868,0.00313478,0.00317168,0.00330585,0.00287724,0.00302099,0.00276768,0.0031194,0.00274448,0.00305071,0.00301115
V25,0.018312,0.0191062,0.0166338,0.0172823,0.0181135,0.0187766,0.0187036,0.0192371,0.018909,0.0196061,0.018468
V26,0.0128143,0.0123933,0.0117961,0.0116676,0.0119481,0.0117447,0.011419,0.0110873,0.0136298,0.0133858,0.0121886
V27,0.00702627,0.00619251,0.00706681,0.00638874,0.00749663,0.00684769,0.00758623,0.0068325,0.00786039,0.00724819,0.0070546
V28,0.00766112,0.00787458,0.0080459,0.0079911,0.00732021,0.00730401,0.0078997,0.0079501,0.00882718,0.00872997,0.00796039
Amount,0.00307727,0.00316248,0.00304442,0.00340172,0.00290817,0.00308505,0.00282625,0.00311153,0.0029185,0.00319371,0.00307291
