k,between_mean,within_mean,within_min,within_max
1,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0
3,1.0,1.0,1.0,1.0
4,0.8846,1.0,1.0,1.0
5,1.0,1.0,1.0,1.0
6,0.875,1.0,1.0,1.0
7,1.0,1.0,1.0,1.0
8,0.9659,0.9659,0.8295,1.0
9,0.9048,0.9683,0.8413,1.0
10,0.94,0.97,0.85,1.0
11,0.9067,0.9426,0.8565,1.0
12,0.9444,1.0,1.0,1.0
13,1.0,1.0,1.0,1.0
14,1.0,1.0,1.0,1.0
15,0.9733,0.9733,0.8667,1.0
16,1.0,1.0,1.0,1.0
17,0.9186,1.0,1.0,1.0
18,0.8403,0.9444,0.8611,1.0
19,0.8995,0.8852,0.8565,1.0
20,0.97,0.88,0.85,1.0
21,1.0,1.0,1.0,1.0
22,0.9489,0.9318,0.8295,1.0
23,0.8975,0.8509,0.8137,1.0
24,0.8542,0.6667,0.5833,0.7917
25,0.856,0.664,0.52,0.76
26,0.8846,0.6538,0.4231,0.7115
27,0.7778,0.7037,0.6296,1.0
28,1.0,1.0,1.0,1.0
29,0.5862,0.5862,-0.0345,1.0
30,1.0,1.0,1.0,1.0
