feature,client_0_s11,client_0_s22,client_1_s11,client_1_s22,client_2_s11,client_2_s22,client_3_s11,client_3_s22,client_4_s11,client_4_s22,mean
Time,0.143665,0.142274,0.121761,0.11984,0.158758,0.15773,0.244438,0.244059,0.243572,0.242382,0.181848
V1,0.291069,0.292086,0.215067,0.216838,0.323133,0.324592,0.458232,0.459143,0.514708,0.512455,0.360732
V2,0.0820151,0.0787313,0.0691424,0.0664984,0.0869057,0.0840268,0.101991,0.101172,0.095042,0.0920575,0.0857583
V3,0.113778,0.111862,0.121519,0.118434,0.110897,0.107663,0.115345,0.113403,0.142394,0.138531,0.119383
V4,0.578538,0.577764,0.582088,0.579019,0.669289,0.667559,0.740741,0.739891,0.760301,0.758741,0.665393
V5,0.194664,0.196141,0.211524,0.213136,0.280741,0.279653,0.279373,0.276488,0.248132,0.247227,0.242708
V6,0.182451,0.181314,0.285601,0.28474,0.218128,0.218235,0.255629,0.255657,0.204077,0.203437,0.228927
V7,0.333832,0.334044,0.244011,0.243318,0.34983,0.347735,0.369925,0.36911,0.303045,0.301233,0.319608
V8,0.267814,0.265929,0.269968,0.268548,0.323131,0.323787,0.333263,0.332607,0.326328,0.324975,0.303635
V9,0.177587,0.180102,0.138047,0.140416,0.178936,0.178589,0.233827,0.237185,0.192895,0.193836,0.185142
V10,0.146721,0.148971,0.15588,0.158923,0.170795,0.170962,0.185564,0.189251,0.217385,0.21909,0.176354
V11,0.116731,0.1194,0.130141,0.134907,0.137995,0.140317,0.147827,0.150252,0.201543,0.204445,0.148356
V12,0.121573,0.122917,0.116375,0.114386,0.189895,0.189341,0.142495,0.14232,0.187709,0.188609,0.151562
V13,0.0909427,0.0914522,0.074599,0.073842,0.106376,0.104982,0.0998524,0.10024,0.105167,0.106084,0.0953537
V14,0.278436,0.284917,0.227051,0.231928,0.306707,0.312059,0.36009,0.363516,0.353818,0.360897,0.307942
V15,0.120373,0.120798,0.149639,0.149529,0.163449,0.163339,0.128399,0.12902,0.143902,0.14345,0.14119
V16,0.191489,0.188426,0.18774,0.183039,0.231561,0.228426,0.237632,0.235329,0.244643,0.239967,0.216825
V17,0.1093,0.109056,0.107373,0.108425,0.124926,0.125635,0.10849,0.107512,0.124026,0.123883,0.114863
V18,0.169677,0.170079,0.144279,0.145613,0.188418,0.19183,0.250782,0.25154,0.269747,0.271202,0.205316
V19,0.114408,0.112707,0.118062,0.116081,0.177191,0.176165,0.165905,0.164875,0.144393,0.143651,0.143344
V20,0.0957215,0.0959779,0.10262,0.100395,0.0975505,0.0947716,0.10331,0.102566,0.0910433,0.0895378,0.0973494
V21,0.301011,0.301101,0.390104,0.39356,0.436346,0.437414,0.368011,0.367646,0.425845,0.426404,0.384744
V22,0.0396992,0.0383393,0.0501073,0.0482375,0.0527005,0.0533157,0.0583964,0.0594897,0.063701,0.063208,0.0527194
V23,0.121826,0.12112,0.110687,0.110309,0.130471,0.130404,0.162256,0.162013,0.180971,0.178514,0.140857
V24,0.0747984,0.071424,0.0672462,0.0667355,0.088838,0.0892853,0.0808021,0.0790862,0.0891611,0.0878155,0.0795192
V25,0.241366,0.244155,0.1975,0.19941,0.284321,0.285507,0.303734,0.305379,0.314872,0.316087,0.269233
V26,0.40581,0.40743,0.423053,0.424549,0.506657,0.508671,0.582909,0.585661,0.590712,0.592891,0.502834
V27,0.0738396,0.0739684,0.081483,0.0834066,0.0989734,0.102303,0.0939074,0.0955521,0.103222,0.1033,0.0909956
V28,0.050453,0.0499941,0.0525718,0.0509215,0.0633921,0.0642704,0.0690619,0.0654242,0.071613,0.0684955,0.0606197
Amount,0.0780816,0.0784401,0.0863449,0.0864635,0.0949208,0.0991233,0.103497,0.104644,0.10164,0.104534,0.0937688
