k,between_mean,within_mean,within_min,within_max
1,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0
3,0.7037,1.0,1.0,1.0
4,0.7115,1.0,1.0,1.0
5,0.736,1.0,1.0,1.0
6,0.75,1.0,1.0,1.0
7,0.8509,1.0,1.0,1.0
8,0.9318,1.0,1.0,1.0
9,0.873,1.0,1.0,1.0
10,0.88,1.0,1.0,1.0
11,0.878,0.9713,0.8565,1.0
12,0.7917,0.9722,0.8611,1.0
13,0.7624,0.9729,0.8643,1.0
14,0.7991,0.9732,0.8661,1.0
15,0.8,1.0,1.0,1.0
16,0.8058,0.9732,0.8661,1.0
17,0.7692,1.0,1.0,1.0
18,0.7639,1.0,1.0,1.0
19,0.8278,1.0,1.0,1.0
20,0.94,1.0,1.0,1.0
21,0.9365,1.0,1.0,1.0
22,1.0,1.0,1.0,1.0
23,0.8509,1.0,1.0,1.0
24,0.7604,0.9583,0.7917,1.0
25,0.664,0.952,0.76,1.0
26,0.7692,1.0,1.0,1.0
27,0.7593,0.8519,0.6296,1.0
28,1.0,1.0,1.0,1.0
29,1.0,1.0,1.0,1.0
30,1.0,1.0,1.0,1.0
