feature,client_0_s11,client_0_s22,client_1_s11,client_1_s22,client_2_s11,client_2_s22,client_3_s11,client_3_s22,client_4_s11,client_4_s22,mean
Time,6.46161e-06,6.23304e-06,7.64554e-06,7.25811e-06,9.11557e-06,8.75818e-06,6.28135e-06,6.19554e-06,1.22667e-05,1.25589e-05,8.27745e-06
V1,6.53911e-06,7.39195e-06,7.90899e-06,8.10432e-06,9.33718e-06,9.55819e-06,6.43676e-06,6.65495e-06,1.23394e-05,1.23738e-05,8.66447e-06
V2,1.03871e-05,1.18295e-05,1.15973e-05,1.25896e-05,1.2892e-05,1.40652e-05,1.0182e-05,1.14103e-05,3.36627e-05,3.52421e-05,1.63858e-05
V3,0.000188022,0.000186177,0.00018897,0.000187256,0.000277441,0.000276739,0.00030019,0.000299472,0.000382558,0.000382882,0.000266971
V4,0.00405354,0.00405528,0.00526242,0.00526458,0.00532678,0.00532906,0.00587962,0.00588175,0.00623178,0.00623403,0.00535189
V5,8.88152e-06,9.54404e-06,9.42529e-06,9.58941e-06,1.09386e-05,1.08531e-05,7.29071e-06,6.92911e-06,2.04836e-05,1.87241e-05,1.1266e-05
V6,6.9549e-06,6.71661e-06,7.99391e-06,7.63e-06,9.78514e-06,9.20727e-06,6.70252e-06,6.52579e-06,1.23979e-05,1.24775e-05,8.63915e-06
V7,0.000191237,0.000191071,0.000163594,0.000163526,0.000107167,0.000106323,0.000171286,0.000171356,0.000524602,0.000524496,0.000231466
V8,6.32865e-06,5.51628e-06,7.70671e-06,6.6699e-06,9.05595e-06,8.11705e-06,6.28269e-06,5.50126e-06,1.25263e-05,1.16861e-05,7.93908e-06
V9,5.1016e-06,8.32912e-06,6.5327e-06,9.47032e-06,8.68016e-06,1.15401e-05,5.2925e-06,7.9128e-06,7.75651e-05,7.88498e-05,2.19274e-05
V10,0.000921941,0.00092363,0.000978039,0.000979219,0.00103065,0.00103153,0.000858403,0.000859414,0.00192988,0.00193105,0.00114438
V11,8.17609e-05,8.35841e-05,8.38395e-05,8.59099e-05,8.81141e-05,9.00485e-05,8.14078e-05,8.33312e-05,9.44795e-05,9.63491e-05,8.68825e-05
V12,0.000313098,0.000310685,0.000376663,0.000374781,0.000339936,0.000337636,0.000311435,0.000309887,0.00107488,0.00107253,0.000482153
V13,8.00342e-06,6.23885e-06,8.88441e-06,7.0637e-06,1.04614e-05,8.61711e-06,7.47851e-06,6.15684e-06,1.37781e-05,1.16502e-05,8.83326e-06
V14,0.00166432,0.00166699,0.00179523,0.00179601,0.00272193,0.00272216,0.00409996,0.00409991,0.00458674,0.00458653,0.00297398
V15,5.97958e-06,5.93367e-06,6.95012e-06,7.16764e-06,8.16606e-06,8.53967e-06,6.0215e-06,5.82317e-06,1.22878e-05,1.21937e-05,7.90628e-06
V16,4.16463e-05,4.34013e-05,4.30602e-05,4.43836e-05,4.46309e-05,4.5765e-05,4.19045e-05,4.2966e-05,0.000127445,0.000125524,6.00726e-05
V17,0.000153079,0.000155978,0.000155061,0.000158285,0.000154979,0.000157876,0.000150803,0.000153819,0.000393169,0.000395305,0.000202835
V18,7.82099e-06,7.44384e-06,8.96211e-06,8.68596e-06,1.02782e-05,1.02499e-05,7.57833e-06,7.14729e-06,1.40488e-05,1.2919e-05,9.51344e-06
V19,0.000150841,0.000151643,0.000152152,0.000152813,0.000153472,0.000154577,0.000151059,0.000151584,0.000181384,0.000181178,0.00015807
V20,9.8547e-05,9.73367e-05,5.81785e-05,5.69374e-05,7.55436e-05,7.44282e-05,5.68348e-05,5.58235e-05,6.0752e-05,5.95188e-05,6.93901e-05
V21,8.6961e-06,7.15271e-06,9.95626e-06,8.71359e-06,1.15925e-05,1.00661e-05,8.79209e-06,7.64173e-06,2.15944e-05,1.97013e-05,1.13907e-05
V22,3.17854e-05,3.19312e-05,3.2897e-05,3.30424e-05,3.35396e-05,3.4027e-05,3.05379e-05,3.0896e-05,3.72108e-05,3.70206e-05,3.32888e-05
V23,5.92438e-06,6.24027e-06,7.32543e-06,7.71705e-06,8.75881e-06,9.35054e-06,5.94161e-06,6.26638e-06,1.22297e-05,1.19421e-05,8.16962e-06
V24,6.56501e-06,6.50413e-06,7.78985e-06,7.77059e-06,9.0601e-06,9.0588e-06,6.30719e-06,6.36747e-06,1.2851e-05,1.25039e-05,8.47781e-06
V25,6.8694e-06,5.97046e-06,7.9788e-06,7.30517e-06,9.56395e-06,8.79931e-06,6.58025e-06,5.73735e-06,1.29143e-05,1.21666e-05,8.38857e-06
V26,1.79029e-05,1.8402e-05,1.86196e-05,1.90815e-05,1.92372e-05,1.9797e-05,1.75501e-05,1.83639e-05,4.2075e-05,4.21625e-05,2.33192e-05
V27,6.02312e-06,5.9257e-06,7.26672e-06,7.09119e-06,8.84089e-06,8.72851e-06,5.98083e-06,5.71421e-06,1.21905e-05,1.1333e-05,7.90946e-06
V28,6.84619e-06,6.8733e-06,8.37395e-06,8.09756e-06,9.51339e-06,9.52541e-06,7.35004e-06,7.12851e-06,1.3619e-05,1.25847e-05,8.9912e-06
Amount,7.10181e-06,7.31409e-06,7.8737e-06,8.15342e-06,9.34042e-06,9.73466e-06,6.93001e-06,7.09248e-06,1.22571e-05,1.28022e-05,8.85999e-06
