k,between_mean,within_mean,within_min,within_max
1,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0
3,1.0,1.0,1.0,1.0
4,1.0,1.0,1.0,1.0
5,0.856,1.0,1.0,1.0
6,0.8542,1.0,1.0,1.0
7,0.8975,0.9627,0.8137,1.0
8,1.0,1.0,1.0,1.0
9,0.8889,1.0,1.0,1.0
10,0.94,1.0,1.0,1.0
11,0.9426,1.0,1.0,1.0
12,0.9444,1.0,1.0,1.0
13,0.9457,1.0,1.0,1.0
14,0.9464,1.0,1.0,1.0
15,0.9133,0.92,0.8667,1.0
16,0.9129,0.8929,0.8661,1.0
17,0.8778,0.8371,0.7285,1.0
18,0.8889,0.8611,0.7222,1.0
19,0.878,0.7416,0.7129,0.8565
20,0.8575,0.7,0.55,0.85
21,0.881,0.5873,0.5238,0.6825
22,0.804,0.5909,0.4886,0.6591
23,0.7671,0.5528,0.441,0.6273
24,0.8333,0.5,0.375,0.5833
25,0.736,0.424,0.28,0.52
26,0.7404,0.4231,0.4231,0.4231
27,0.5926,0.2593,0.2593,0.2593
28,0.4643,0.1429,-0.0714,0.4643
29,0.431,0.1724,-0.0345,1.0
30,1.0,1.0,1.0,1.0
