feature,client_0_s11,client_0_s22,client_1_s11,client_1_s22,client_2_s11,client_2_s22,client_3_s11,client_3_s22,client_4_s11,client_4_s22,mean
Time,0.00032878,0.000329898,0.000293409,0.000302535,0.000294299,0.000295026,0.00029059,0.000299944,0.000357954,0.000358511,0.000315095
V1,0.000247311,0.000265043,0.000236949,0.000255915,0.000253782,0.000277911,0.000247419,0.00026157,0.000309897,0.000344918,0.000270072
V2,0.000243991,0.000241326,0.000250193,0.000248231,0.000255875,0.000239096,0.000236789,0.000238832,0.00028651,0.000280522,0.000252136
V3,0.000230227,0.000216264,0.000261941,0.000241494,0.000223205,0.000218181,0.000237012,0.000231796,0.000327913,0.000312604,0.000250064
V4,0.0141167,0.0141243,0.0137819,0.0137967,0.0106801,0.0107034,0.0121048,0.0121413,0.0148763,0.0148908,0.0131216
V5,0.000677811,0.000684915,0.000486871,0.000492233,0.000563036,0.000584768,0.000574454,0.000600035,0.0006795,0.00069225,0.000603587
V6,0.000244886,0.000252854,0.00023481,0.000244469,0.0002322,0.000252803,0.000275349,0.000281175,0.000278127,0.0003213,0.000261797
V7,0.000852977,0.000851806,0.00106944,0.00105428,0.00239255,0.00237492,0.000627809,0.000644747,0.000454946,0.000455263,0.00107787
V8,0.000992713,0.00100005,0.00109435,0.00110162,0.00106234,0.0010786,0.0011451,0.00114592,0.00118185,0.00118268,0.00109852
V9,0.000215564,0.00022182,0.000289624,0.000280552,0.00023481,0.000228773,0.000207265,0.00020881,0.000221726,0.000239299,0.000234824
V10,0.00165035,0.00164117,0.00387923,0.003869,0.00123973,0.0012128,0.000703338,0.000701786,0.000727096,0.00073302,0.00163575
V11,0.00159494,0.00159186,0.00220777,0.00220333,0.00152195,0.00150586,0.00161222,0.00159754,0.0016641,0.00163742,0.0017137
V12,0.00281946,0.00281022,0.00285789,0.00284885,0.00173437,0.00170147,0.0024756,0.00245668,0.00263411,0.00262587,0.00249645
V13,0.00111859,0.00112406,0.00111055,0.00112528,0.000727243,0.000714529,0.000803216,0.000796086,0.00186894,0.00184548,0.0011234
V14,0.0110873,0.0110777,0.013974,0.0139743,0.0130348,0.013032,0.00789726,0.00788424,0.0111133,0.011115,0.011419
V15,0.000221955,0.000216404,0.000229716,0.000233234,0.000217093,0.00021835,0.000238985,0.000229512,0.000279402,0.000276011,0.000236066
V16,0.00116879,0.00115171,0.000814734,0.000798595,0.00120694,0.00122025,0.00114741,0.00110703,0.000991166,0.000973342,0.001058
V17,0.00306628,0.00306016,0.0057734,0.00577794,0.00181458,0.00181352,0.00150747,0.00151128,0.00153549,0.00154633,0.00274065
V18,0.000206004,0.000232755,0.000191445,0.000188544,0.000201623,0.000212108,0.000205892,0.000221544,0.000235053,0.00025135,0.000214632
V19,0.000590849,0.000596014,0.000540435,0.00054151,0.00054242,0.000553978,0.000557529,0.000563004,0.000580626,0.00059527,0.000566164
V20,0.000373751,0.000372612,0.000358412,0.000369252,0.000397677,0.000401184,0.000390318,0.000392108,0.000437966,0.00044654,0.000393982
V21,0.000909569,0.000886599,0.0012754,0.00128241,0.000909341,0.000892301,0.0010871,0.00108401,0.0012238,0.00118812,0.00107387
V22,0.000416309,0.000429082,0.00033521,0.00033903,0.000520721,0.000505888,0.000575088,0.000590371,0.000440356,0.00047419,0.000462624
V23,0.0005137,0.000516684,0.000496761,0.000498752,0.000617697,0.000622928,0.000729451,0.000730745,0.000832528,0.00083248,0.000639173
V24,0.000205515,0.000219265,0.000195814,0.000206219,0.000237718,0.000245884,0.000215056,0.000221335,0.000245926,0.000269762,0.000226249
V25,0.000854651,0.000861494,0.000724969,0.000731326,0.000867166,0.000876592,0.000946118,0.000944413,0.000951987,0.000967101,0.000872582
V26,0.00067327,0.00067981,0.000710825,0.000713469,0.000688342,0.000692737,0.000583457,0.000582945,0.000789879,0.000786314,0.000690105
V27,0.000281482,0.000283131,0.000314804,0.000321785,0.000265099,0.000254011,0.000297604,0.000296803,0.000302349,0.000300171,0.000291724
V28,0.00057581,0.000586,0.000504312,0.000518211,0.00051821,0.000539135,0.000923291,0.000938266,0.000727568,0.000725555,0.000655636
Amount,0.000286523,0.000279232,0.00028667,0.000288397,0.000367308,0.000380282,0.000299516,0.000300874,0.000325896,0.000339354,0.000315405
