k,between_mean,within_mean,within_min,within_max
1,0.3793,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0
3,0.7037,1.0,1.0,1.0
4,0.5962,1.0,1.0,1.0
5,0.712,1.0,1.0,1.0
6,0.8125,0.9583,0.7917,1.0
7,0.7205,0.9627,0.8137,1.0
8,0.7102,1.0,1.0,1.0
9,0.7619,1.0,1.0,1.0
10,0.76,1.0,1.0,1.0
11,0.799,1.0,1.0,1.0
12,0.8194,1.0,1.0,1.0
13,0.8032,0.9729,0.8643,1.0
14,0.8125,1.0,1.0,1.0
15,0.8067,0.9733,0.8667,1.0
16,0.8192,0.9732,0.8661,1.0
17,0.905,0.9457,0.8643,1.0
18,0.9444,1.0,1.0,1.0
19,1.0,1.0,1.0,1.0
20,0.88,1.0,1.0,1.0
21,0.8571,0.9048,0.8413,1.0
22,0.8807,0.8977,0.8295,1.0
23,0.7857,0.9255,0.8137,1.0
24,0.7917,0.875,0.7917,1.0
25,0.676,0.808,0.76,1.0
26,0.6538,0.7115,0.7115,0.7115
27,0.5741,0.8519,0.2593,1.0
28,0.4107,0.5714,-0.0714,1.0
29,0.2241,0.5862,-0.0345,1.0
30,1.0,1.0,1.0,1.0
