feature,client_0_s11,client_0_s22,client_1_s11,client_1_s22,client_2_s11,client_2_s22,client_3_s11,client_3_s22,client_4_s11,client_4_s22,mean
Time,1.2412e-05,1.19598e-05,1.55612e-05,1.4896e-05,1.11452e-05,1.06146e-05,1.56583e-05,1.49117e-05,1.47931e-05,1.40503e-05,1.36002e-05
V1,5.11527e-06,4.97407e-06,4.64295e-06,4.08418e-06,4.20935e-06,3.97174e-06,5.92331e-06,5.44759e-06,4.48863e-06,4.05855e-06,4.69156e-06
V2,3.57482e-06,4.38758e-06,3.4905e-06,3.58518e-06,2.63455e-06,3.42369e-06,4.59548e-06,5.00927e-06,3.20593e-06,3.69478e-06,3.76018e-06
V3,3.58145e-05,3.53023e-05,3.49072e-05,3.44432e-05,3.47261e-05,3.40541e-05,4.54653e-05,4.47592e-05,3.45402e-05,3.4301e-05,3.68313e-05
V4,0.000813364,0.00081223,0.00112733,0.00112778,0.000850225,0.000849788,0.00109962,0.00109915,0.000894206,0.000893786,0.000956747
V5,4.31989e-06,5.19198e-06,3.95361e-06,4.96219e-06,3.44328e-06,4.6625e-06,5.03352e-06,6.58191e-06,3.66701e-06,5.17131e-06,4.69872e-06
V6,4.2639e-06,3.89023e-06,4.21193e-06,3.42902e-06,3.32627e-06,2.92148e-06,5.40837e-06,4.72069e-06,3.96978e-06,3.26409e-06,3.94058e-06
V7,5.15601e-05,5.29521e-05,4.09123e-05,4.17641e-05,5.53525e-05,5.72782e-05,0.000126311,0.000127167,4.30684e-05,4.42562e-05,6.40621e-05
V8,3.73684e-06,4.83791e-06,3.20733e-06,3.85093e-06,2.45349e-06,3.75751e-06,4.24683e-06,5.23494e-06,3.0944e-06,3.72136e-06,3.81416e-06
V9,8.44775e-06,7.74646e-06,7.80782e-06,7.54587e-06,7.27753e-06,6.67897e-06,8.76309e-06,8.73498e-06,7.53571e-06,7.39577e-06,7.7934e-06
V10,0.00195584,0.00195773,0.000985836,0.000986844,0.000882439,0.000883626,0.000885325,0.000886232,0.000883127,0.000884145,0.00111912
V11,0.000117687,0.00011827,0.000168814,0.000169344,0.000109329,0.00010963,0.000167283,0.000167879,0.000150416,0.000150987,0.000142964
V12,0.000509872,0.000509831,0.00121245,0.00121183,0.000500147,0.000499668,0.000893591,0.00089359,0.000502411,0.000501686,0.000723507
V13,4.6089e-06,4.47462e-06,3.55906e-06,3.85458e-06,3.28287e-06,3.53693e-06,4.65645e-06,5.00079e-06,3.47505e-06,3.72039e-06,4.01696e-06
V14,0.00369312,0.0036932,0.00364599,0.00364524,0.0037445,0.00374429,0.00632812,0.00632703,0.00371268,0.00371148,0.00422456
V15,4.65056e-06,4.38065e-06,3.80864e-06,3.56049e-06,3.64789e-06,3.51459e-06,5.19869e-06,5.18318e-06,3.8881e-06,3.35747e-06,4.11903e-06
V16,4.26696e-06,4.38152e-06,4.02438e-06,3.59498e-06,3.36829e-06,3.35688e-06,5.36675e-06,5.08365e-06,3.80958e-06,3.63966e-06,4.08926e-06
V17,0.000104842,0.000106782,0.000105016,0.000107079,0.000103688,0.000105139,0.000107588,0.000109788,0.000104474,0.000106692,0.000106109
V18,4.66777e-06,4.80472e-06,4.57578e-06,4.31885e-06,4.08689e-06,4.03077e-06,6.05892e-06,5.61057e-06,4.41771e-06,4.21136e-06,4.67833e-06
V19,8.59208e-05,8.61704e-05,8.58154e-05,8.5212e-05,8.53902e-05,8.54217e-05,8.54164e-05,8.49474e-05,8.5712e-05,8.51632e-05,8.5517e-05
V20,3.48212e-06,4.37679e-06,3.01502e-06,3.50717e-06,2.57215e-06,3.2569e-06,4.00547e-06,4.92712e-06,2.72655e-06,3.29316e-06,3.51624e-06
V21,4.27454e-06,4.70559e-06,4.18821e-06,4.06959e-06,3.6458e-06,3.79816e-06,5.4496e-06,5.27988e-06,4.03989e-06,3.86096e-06,4.33122e-06
V22,3.91111e-06,3.89839e-06,3.59318e-06,3.16767e-06,2.9003e-06,3.08016e-06,4.66386e-06,4.36039e-06,3.35439e-06,3.141e-06,3.60704e-06
V23,5.26608e-06,4.66531e-06,4.3085e-06,3.72167e-06,4.37805e-06,3.67331e-06,5.66493e-06,4.83519e-06,4.41184e-06,3.48909e-06,4.4414e-06
V24,3.5713e-06,5.14954e-06,3.04418e-06,4.76937e-06,2.40773e-06,3.75322e-06,4.40713e-06,5.79677e-06,3.01428e-06,4.53939e-06,4.04529e-06
V25,4.73244e-06,4.69526e-06,3.53295e-06,3.63077e-06,3.08889e-06,3.59683e-06,4.63729e-06,4.83778e-06,3.32087e-06,3.55313e-06,3.96262e-06
V26,4.0006e-06,3.84224e-06,3.75194e-06,3.35727e-06,3.20678e-06,3.29066e-06,5.16499e-06,4.63389e-06,3.53022e-06,3.45691e-06,3.82355e-06
V27,7.00352e-06,7.81895e-06,5.72309e-06,5.74384e-06,5.70957e-06,6.67267e-06,7.78245e-06,8.00951e-06,5.771e-06,6.07013e-06,6.63047e-06
V28,3.33075e-06,3.9045e-06,2.63725e-06,2.78207e-06,1.88451e-06,2.95845e-06,3.86725e-06,4.07435e-06,2.51722e-06,2.85519e-06,3.08115e-06
Amount,4.36807e-06,5.18231e-06,3.65352e-06,3.61321e-06,3.3151e-06,3.74293e-06,5.19431e-06,4.8173e-06,3.63497e-06,3.81783e-06,4.13396e-06
