k,between_mean,within_mean,within_min,within_max
1,1.0,1.0,1.0,1.0
2,0.5714,1.0,1.0,1.0
3,0.7778,1.0,1.0,1.0
4,1.0,1.0,1.0,1.0
5,1.0,1.0,1.0,1.0
6,0.9167,1.0,1.0,1.0
7,0.9255,1.0,1.0,1.0
8,1.0,1.0,1.0,1.0
9,1.0,1.0,1.0,1.0
10,1.0,1.0,1.0,1.0
11,0.9713,0.9713,0.8565,1.0
12,1.0,1.0,1.0,1.0
13,0.9457,0.8643,0.8643,0.8643
14,0.9129,0.7321,0.7321,0.7321
15,0.92,0.7333,0.6,0.8667
16,0.8862,0.7054,0.5982,0.7321
17,0.8575,0.6742,0.457,0.7285
18,0.8125,0.5833,0.4444,0.7222
19,0.8206,0.512,0.4258,0.5694
20,0.775,0.52,0.4,0.55
21,0.7302,0.4603,0.3651,0.6825
22,0.7784,0.4205,0.3182,0.6591
23,0.7391,0.2919,0.0683,0.441
24,0.8229,0.2083,-0.0417,0.375
25,0.904,0.232,0.04,0.28
26,0.8558,0.25,0.1346,0.4231
27,0.7222,0.1852,-0.1111,0.2593
28,0.625,0.3571,-0.0714,0.4643
29,0.6379,0.5862,-0.0345,1.0
30,1.0,1.0,1.0,1.0
