feature,client_0_s11,client_0_s22,client_1_s11,client_1_s22,client_2_s11,client_2_s22,client_3_s11,client_3_s22,client_4_s11,client_4_s22,mean
Time,0.000407533,0.000392559,0.000392853,0.000376375,0.000393213,0.000402836,0.000446995,0.00044115,0.000427972,0.00040868,0.000409017
V1,0.00049821,0.000489667,0.000557372,0.000565333,0.000389364,0.000377967,0.000643999,0.000624604,0.000388432,0.000367345,0.000490229
V2,0.000197589,0.000207425,0.000216352,0.000214064,0.000207013,0.000219021,0.000251302,0.000243401,0.000197326,0.000195103,0.00021486
V3,0.00113727,0.00113903,0.000948861,0.000951411,0.000788401,0.000797244,0.000813216,0.000835636,0.000813878,0.000831479,0.000905642
V4,0.0145007,0.0144877,0.0158023,0.0157711,0.0162872,0.0162357,0.0134407,0.0134068,0.0124273,0.0124012,0.0144761
V5,0.000583109,0.000601646,0.000481176,0.000494957,0.000472299,0.000456969,0.000587438,0.000573103,0.000400566,0.000416041,0.00050673
V6,0.00057517,0.000557273,0.000386317,0.00038222,0.000717356,0.000714485,0.000660428,0.000673054,0.000506789,0.000514895,0.000568799
V7,0.00173035,0.00172978,0.00119103,0.00119008,0.000932386,0.000941105,0.00168624,0.00167125,0.00114462,0.00115584,0.00133727
V8,0.000691596,0.000689931,0.000650577,0.000656737,0.00107384,0.00107163,0.00104287,0.00102268,0.000757763,0.000760921,0.000841855
V9,0.000273943,0.000275244,0.000273716,0.000272426,0.000270214,0.000262357,0.000270199,0.000251565,0.000371463,0.000370862,0.000289199
V10,0.00278338,0.00277084,0.00291781,0.00292334,0.00386524,0.00383976,0.00479119,0.00479404,0.00436554,0.00436368,0.00374148
V11,0.000621415,0.000608577,0.000734569,0.000731021,0.000642249,0.000615984,0.000741157,0.000720596,0.000526201,0.000522686,0.000646445
V12,0.00246679,0.00245953,0.00217803,0.00218193,0.00236938,0.00235706,0.00217261,0.00217902,0.00227803,0.0022846,0.0022927
V13,0.000438869,0.0004461,0.000472822,0.000470453,0.00045358,0.000457393,0.000575308,0.000582613,0.000406346,0.000408173,0.000471166
V14,0.0186118,0.0186243,0.0126459,0.0126705,0.0126387,0.012663,0.0208844,0.0209175,0.0175265,0.017544,0.0164727
V15,0.00147523,0.00148779,0.00180855,0.00181647,0.00143116,0.00146114,0.00155314,0.00155728,0.00134188,0.00134666,0.00152793
V16,0.000461094,0.00046816,0.000525421,0.000515789,0.00058719,0.000591518,0.00078508,0.000793269,0.000573465,0.000580117,0.00058811
V17,0.000861401,0.000861549,0.000979336,0.000976336,0.000938698,0.000934308,0.000959423,0.000955817,0.00344939,0.0034384,0.00143547
V18,0.00107796,0.00106326,0.000743462,0.000739658,0.00100019,0.000999198,0.000703041,0.000676968,0.000748663,0.000738503,0.00084909
V19,0.00107959,0.00107691,0.000894821,0.000876625,0.00075893,0.000766518,0.000710534,0.000705799,0.000559335,0.000569318,0.000799838
V20,0.000268821,0.000258519,0.000270397,0.000256428,0.000266916,0.000257388,0.000286894,0.000278816,0.000269973,0.000264586,0.000267874
V21,0.00330209,0.00330591,0.0039128,0.00389696,0.00344643,0.00345352,0.00334199,0.00334661,0.00313536,0.00312876,0.00342704
V22,0.000210333,0.000212323,0.000214449,0.000234498,0.000217825,0.000206021,0.000215791,0.000231546,0.000206981,0.000204325,0.000215409
V23,0.000225378,0.000233045,0.000240074,0.000242949,0.000244071,0.000229506,0.000251958,0.000239204,0.000212271,0.000211035,0.000232949
V24,0.000502716,0.000495932,0.000522721,0.000515755,0.000664709,0.000669537,0.000543574,0.000538029,0.000560808,0.000564669,0.000557845
V25,0.000416882,0.000408367,0.00051773,0.0004898,0.000387846,0.000359265,0.000512648,0.000502992,0.000366972,0.000328718,0.000429122
V26,0.000556206,0.000578346,0.000463734,0.000487485,0.000956486,0.000966935,0.000631876,0.000655872,0.000566468,0.000602336,0.000646574
V27,0.000401247,0.000408116,0.000476876,0.000464456,0.000332093,0.00033928,0.00037691,0.000385843,0.00034009,0.000358148,0.000388306
V28,0.000361563,0.000346664,0.000407987,0.000420382,0.000401466,0.000386018,0.000401161,0.000383105,0.000342465,0.000338884,0.000378969
Amount,0.000464744,0.000484573,0.000437757,0.000456869,0.000403623,0.000427517,0.000566673,0.00058358,0.000306904,0.000316675,0.000444892
