k,between_mean,within_mean,within_min,within_max
1,0.3793,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0
3,0.7778,1.0,1.0,1.0
4,0.8846,1.0,1.0,1.0
5,0.904,1.0,1.0,1.0
6,0.8333,1.0,1.0,1.0
7,0.8696,1.0,1.0,1.0
8,0.7955,1.0,1.0,1.0
9,0.7302,1.0,1.0,1.0
10,0.7525,0.97,0.85,1.0
11,0.799,1.0,1.0,1.0
12,0.7917,0.9722,0.8611,1.0
13,0.8235,1.0,1.0,1.0
14,0.7723,0.9732,0.8661,1.0
15,0.7467,0.9733,0.8667,1.0
16,0.7857,0.9732,0.8661,1.0
17,0.8032,0.9729,0.8643,1.0
18,0.7431,0.9167,0.8611,1.0
19,0.677,0.9139,0.8565,1.0
20,0.73,0.97,0.85,1.0
21,0.746,0.9365,0.8413,1.0
22,0.6932,1.0,1.0,1.0
23,0.6925,0.9255,0.8137,1.0
24,0.75,0.875,0.7917,1.0
25,0.904,1.0,1.0,1.0
26,0.8846,1.0,1.0,1.0
27,1.0,1.0,1.0,1.0
28,0.8929,0.8929,0.4643,1.0
29,0.3793,0.5862,-0.0345,1.0
30,1.0,1.0,1.0,1.0
