feature,client_0_s11,client_0_s22,mean
Time,0.0449957,0.0450961,0.0450459
V1,0.107787,0.108178,0.107983
V2,0.0593233,0.0589358,0.0591295
V3,0.0793268,0.0782883,0.0788075
V4,0.168725,0.168746,0.168735
V5,0.0530411,0.0534346,0.0532378
V6,0.105149,0.104957,0.105053
V7,0.10594,0.10568,0.10581
V8,0.123483,0.123683,0.123583
V9,0.245981,0.246279,0.24613
V10,0.188676,0.188655,0.188665
V11,0.207845,0.207669,0.207757
V12,0.301225,0.300716,0.30097
V13,0.288684,0.288744,0.288714
V14,0.307686,0.30724,0.307463
V15,0.228685,0.228917,0.228801
V16,0.208459,0.208385,0.208422
V17,0.0839452,0.084006,0.0839756
V18,0.0845699,0.0849477,0.0847588
V19,0.0720522,0.0718876,0.0719699
V20,0.0341288,0.034221,0.0341749
V21,0.032724,0.0327773,0.0327506
V22,0.0805849,0.0815969,0.0810909
V23,0.0422082,0.0420033,0.0421058
V24,0.0790328,0.0791129,0.0790728
V25,0.0519457,0.0518352,0.0518904
V26,0.0406193,0.0402154,0.0404173
V27,0.0146372,0.0142141,0.0144256
V28,0.0101276,0.00993789,0.0100327
Amount,0.00948268,0.00988056,0.00968162
