feature,client_0_s11,client_0_s22,mean
Time,0.122592,0.122251,0.122422
V1,0.185003,0.185045,0.185024
V2,0.178003,0.177607,0.177805
V3,0.20136,0.201437,0.201399
V4,0.563729,0.563922,0.563825
V5,0.192232,0.192023,0.192128
V6,0.139128,0.13889,0.139009
V7,0.120272,0.120196,0.120234
V8,0.170677,0.171175,0.170926
V9,0.318042,0.318355,0.318199
V10,0.282475,0.283622,0.283048
V11,0.153053,0.15251,0.152782
V12,0.299251,0.29844,0.298845
V13,0.352455,0.352308,0.352381
V14,0.44598,0.445236,0.445608
V15,0.255887,0.255859,0.255873
V16,0.21888,0.219534,0.219207
V17,0.0475334,0.0467456,0.0471395
V18,0.070704,0.0709729,0.0708385
V19,0.0425682,0.0419937,0.042281
V20,0.029879,0.03003,0.0299545
V21,0.0267775,0.0267028,0.0267402
V22,0.0725454,0.0741321,0.0733388
V23,0.0276431,0.0278402,0.0277416
V24,0.0761855,0.0766206,0.076403
V25,0.0402214,0.0400248,0.0401231
V26,0.0360489,0.0353588,0.0357038
V27,0.0126204,0.0123731,0.0124967
V28,0.00983558,0.00965166,0.00974362
Amount,0.0117814,0.0114649,0.0116232
